"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",5.76310287598481e-07,2.5832408638585e-07,2.60735342056707e-07,1.14398456794476e-07,4.03427307375187e-08,8.48685647937321e-08,1.17776262017477e-07,1.23345423600257e-07,1.15632581882941e-07,3.99998909333557e-08,1.73199303040246e-08,2.31919087224338e-08,4.15353257576662e-08,3.31602323954929e-08,2.08093545668305e-08
"[5,10)",2.5832408638585e-07,7.90650115943974e-07,7.08664598249227e-07,2.30629048634127e-07,2.43794655085589e-08,6.45863565410998e-08,8.11264229853629e-08,1.04232254509182e-07,1.68835335936009e-07,1.34100306754019e-07,5.11116268492639e-08,4.17054228417586e-08,2.88959284356736e-08,4.1972801701675e-08,3.28333577342867e-08
"[10,15)",2.60735342056707e-07,7.08664598249227e-07,1.00277521499817e-06,4.60104687198829e-07,4.42092763061737e-08,6.50214083083601e-08,7.94322447865015e-08,8.29209290299059e-08,1.37606917170278e-07,1.60532296337246e-07,8.7763157667295e-08,6.26066278557414e-08,3.44600190976609e-08,2.5689906970011e-08,3.06106120690516e-08
"[15,20)",1.14398456794476e-07,2.30629048634127e-07,4.60104687198829e-07,5.85221493091339e-07,1.03225688945747e-07,9.41975196672024e-08,5.23439741801406e-08,4.68669391329552e-08,8.45192112395671e-08,1.227226400085e-07,1.32132279866999e-07,1.07603798223038e-07,6.12395966539375e-08,2.42117420048597e-08,2.2499291898515e-08
"[20,25)",4.03427307375187e-08,2.43794655085589e-08,4.42092763061737e-08,1.03225688945747e-07,2.18325493986421e-07,1.38136236641511e-07,6.68364710154013e-08,3.21754396986505e-08,3.92344447579357e-08,5.87233593689491e-08,1.04928015870834e-07,1.17514802293741e-07,7.31455234779726e-08,3.26530110280614e-08,1.99257377505398e-08
"[25,30)",8.48685647937321e-08,6.45863565410998e-08,6.50214083083601e-08,9.41975196672024e-08,1.38136236641511e-07,1.2161152433915e-07,1.07035413408401e-07,6.21992844643907e-08,3.424583527981e-08,5.3966215767207e-08,7.31788243047943e-08,1.0212868196963e-07,9.63742560726289e-08,4.92662385879132e-08,2.90463738829888e-08
"[30,35)",1.17776262017477e-07,8.11264229853629e-08,7.94322447865015e-08,5.23439741801406e-08,6.68364710154012e-08,1.07035413408401e-07,9.7429532951418e-08,8.09279133936155e-08,6.55348080255293e-08,4.04024891224871e-08,5.28336555497516e-08,7.90705804556512e-08,6.55943093048497e-08,7.7692480667985e-08,4.26576699517049e-08
"[35,40)",1.23345423600257e-07,1.04232254509182e-07,8.29209290299059e-08,4.68669391329552e-08,3.21754396986505e-08,6.21992844643907e-08,8.09279133936155e-08,8.55858821165845e-08,9.01429896688196e-08,6.43833906763034e-08,4.04095093270127e-08,5.19662726955886e-08,6.04799631712358e-08,7.34126111488593e-08,4.69637456756614e-08
"[40,45)",1.15632581882941e-07,1.68835335936009e-07,1.37606917170278e-07,8.45192112395671e-08,3.92344447579357e-08,3.424583527981e-08,6.55348080255293e-08,9.01429896688196e-08,9.21102793976442e-08,9.91557257962334e-08,8.58042660895053e-08,4.90424826159469e-08,4.90439912642553e-08,5.86068262251651e-08,5.7614717603574e-08
"[45,50)",3.99998909333557e-08,1.34100306754019e-07,1.60532296337246e-07,1.227226400085e-07,5.87233593689491e-08,5.3966215767207e-08,4.04024891224871e-08,6.43833906763034e-08,9.91557257962334e-08,1.0820829910978e-07,1.09214223017811e-07,7.44956833563834e-08,4.05149117975757e-08,4.25505469220735e-08,5.22462463945705e-08
"[50,55)",1.73199303040246e-08,5.11116268492639e-08,8.7763157667295e-08,1.32132279866999e-07,1.04928015870834e-07,7.31788243047943e-08,5.28336555497516e-08,4.04095093270127e-08,8.58042660895053e-08,1.09214223017811e-07,9.20957011280202e-08,1.00818323870616e-07,7.9007455610629e-08,3.53188787367425e-08,4.56370961913933e-08
"[55,60)",2.31919087224338e-08,4.17054228417586e-08,6.26066278557414e-08,1.07603798223038e-07,1.17514802293741e-07,1.0212868196963e-07,7.90705804556512e-08,5.19662726955886e-08,4.90424826159469e-08,7.44956833563834e-08,1.00818323870616e-07,1.07240166844215e-07,1.05452798062089e-07,6.22516305431268e-08,3.91209994474895e-08
"[60,65)",4.15353257576662e-08,2.88959284356736e-08,3.44600190976609e-08,6.12395966539375e-08,7.31455234779726e-08,9.63742560726289e-08,6.55943093048497e-08,6.04799631712358e-08,4.90439912642553e-08,4.05149117975757e-08,7.9007455610629e-08,1.05452798062089e-07,9.7071847151403e-08,1.39923745984686e-07,3.93647857977732e-08
"[65,70)",3.31602323954929e-08,4.1972801701675e-08,2.5689906970011e-08,2.42117420048597e-08,3.26530110280614e-08,4.92662385879132e-08,7.7692480667985e-08,7.34126111488593e-08,5.86068262251651e-08,4.25505469220735e-08,3.53188787367425e-08,6.22516305431268e-08,1.39923745984686e-07,1.71325908007685e-07,6.54266241406873e-08
"70+",2.08093545668305e-08,3.28333577342867e-08,3.06106120690516e-08,2.2499291898515e-08,1.99257377505398e-08,2.90463738829888e-08,4.2657669951705e-08,4.69637456756614e-08,5.7614717603574e-08,5.22462463945705e-08,4.56370961913933e-08,3.91209994474895e-08,3.93647857977732e-08,6.54266241406872e-08,1.13778830882283e-07
