"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",1.64938521264966e-06,2.09119720303388e-06,1.41551329628038e-06,6.99163774158314e-07,2.90510875352013e-07,7.10719053952967e-07,1.07666566262555e-06,1.01843044796717e-06,5.47727142831082e-07,2.77999512943343e-07,2.14767029764019e-07,2.5512718714682e-07,2.20765720973057e-07,2.93666211076022e-07,1.23798611106317e-07
"[5,10)",2.09119720303388e-06,6.12946886370745e-06,3.96651895683347e-06,1.53128102279831e-06,2.64444937544715e-07,3.30843729782848e-07,6.2418932732711e-07,1.04045103493501e-06,9.83219132141888e-07,5.97167588440939e-07,2.7831515142602e-07,3.23025045361362e-07,2.34005909408082e-07,2.10188702217936e-07,1.74635681464237e-07
"[10,15)",1.41551329628038e-06,3.96651895683347e-06,4.47698623266961e-06,1.93905343661755e-06,3.52270535616409e-07,3.61655879928609e-07,4.36160510231588e-07,6.82151285185641e-07,9.03516393667713e-07,7.52429126098304e-07,5.83180758984423e-07,3.47874804872016e-07,2.52209359751928e-07,1.80467336540848e-07,1.67213374529642e-07
"[15,20)",6.99163774158314e-07,1.53128102279831e-06,1.93905343661755e-06,2.23270325294408e-06,7.70056804278529e-07,6.4152819896608e-07,3.87835618187199e-07,4.34945659659481e-07,6.17268083874107e-07,7.80553098555568e-07,6.29121842115335e-07,4.60234470485769e-07,3.59022576238363e-07,3.1550419354449e-07,3.20161435059691e-07
"[20,25)",2.90510875352013e-07,2.64444937544715e-07,3.52270535616409e-07,7.70056804278529e-07,1.16962444104409e-06,9.64392630079918e-07,5.23549939680406e-07,3.78843137976341e-07,4.34051359025124e-07,5.32340354639683e-07,5.60830678718402e-07,5.66196540492206e-07,4.73161362327594e-07,2.9111136957238e-07,2.05998367008701e-07
"[25,30)",7.10719053952967e-07,3.30843729782848e-07,3.61655879928609e-07,6.4152819896608e-07,9.64392630079918e-07,7.75872462541428e-07,7.2621749660361e-07,5.51571385075731e-07,3.61353859496899e-07,4.05377147912302e-07,4.41016600921107e-07,4.5655500097543e-07,4.9166486342223e-07,2.73326951390916e-07,2.02323335990107e-07
"[30,35)",1.07666566262555e-06,6.2418932732711e-07,4.36160510231588e-07,3.87835618187199e-07,5.23549939680406e-07,7.2621749660361e-07,6.62181673979112e-07,6.90650230155051e-07,5.45696947484746e-07,3.49105967030728e-07,3.63483880761015e-07,3.77285092850155e-07,3.80562952582278e-07,3.70382486988541e-07,2.72049252110831e-07
"[35,40)",1.01843044796717e-06,1.04045103493501e-06,6.82151285185641e-07,4.34945659659481e-07,3.78843137976341e-07,5.51571385075731e-07,6.90650230155051e-07,7.12796861672218e-07,6.98508520091336e-07,4.83699784040661e-07,3.53369335538056e-07,3.91554351910928e-07,3.54199998016755e-07,4.08689999944254e-07,2.80793772896106e-07
"[40,45)",5.47727142831082e-07,9.83219132141888e-07,9.03516393667713e-07,6.17268083874107e-07,4.34051359025124e-07,3.61353859496899e-07,5.45696947484746e-07,6.98508520091336e-07,6.82949046256453e-07,6.54405460150523e-07,5.06398543044247e-07,3.90017119505074e-07,3.84552776355211e-07,3.21898273332066e-07,2.86922118081575e-07
"[45,50)",2.77999512943343e-07,5.97167588440939e-07,7.52429126098304e-07,7.80553098555568e-07,5.32340354639683e-07,4.05377147912302e-07,3.49105967030728e-07,4.83699784040661e-07,6.54405460150523e-07,5.88682781040187e-07,5.70825450599082e-07,4.55049010572417e-07,3.7386545589163e-07,2.91833327876766e-07,2.90642846506453e-07
"[50,55)",2.14767029764019e-07,2.7831515142602e-07,5.83180758984423e-07,6.29121842115335e-07,5.60830678718402e-07,4.41016600921107e-07,3.63483880761015e-07,3.53369335538056e-07,5.06398543044247e-07,5.70825450599082e-07,6.05966950982863e-07,6.3442576776865e-07,5.21056923631548e-07,3.92430725214736e-07,3.32634676412307e-07
"[55,60)",2.5512718714682e-07,3.23025045361362e-07,3.47874804872016e-07,4.60234470485769e-07,5.66196540492206e-07,4.5655500097543e-07,3.77285092850155e-07,3.91554351910928e-07,3.90017119505074e-07,4.55049010572417e-07,6.3442576776865e-07,7.19002708139374e-07,6.96188940419973e-07,5.29931410609675e-07,3.7974607692165e-07
"[60,65)",2.20765720973057e-07,2.34005909408082e-07,2.52209359751928e-07,3.59022576238363e-07,4.73161362327594e-07,4.9166486342223e-07,3.80562952582278e-07,3.54199998016755e-07,3.84552776355211e-07,3.7386545589163e-07,5.21056923631548e-07,6.96188940419973e-07,6.2500445575171e-07,7.56005025685171e-07,3.74522301686986e-07
"[65,70)",2.93666211076022e-07,2.10188702217936e-07,1.80467336540848e-07,3.1550419354449e-07,2.9111136957238e-07,2.73326951390916e-07,3.70382486988541e-07,4.08689999944254e-07,3.21898273332066e-07,2.91833327876766e-07,3.92430725214736e-07,5.29931410609675e-07,7.56005025685171e-07,8.7300274792612e-07,5.5731851990937e-07
"70+",1.23798611106317e-07,1.74635681464237e-07,1.67213374529642e-07,3.20161435059691e-07,2.05998367008701e-07,2.02323335990107e-07,2.72049252110831e-07,2.80793772896106e-07,2.86922118081575e-07,2.90642846506453e-07,3.32634676412307e-07,3.7974607692165e-07,3.74522301686986e-07,5.5731851990937e-07,9.69587380645425e-07
