"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",2.21571800718567e-07,1.9656708279145e-07,1.63977983559755e-07,9.10837540479427e-08,3.54478782453901e-08,5.99057652731282e-08,9.32343059448321e-08,1.09440904727748e-07,7.34080974299858e-08,3.15475573043622e-08,2.15627047361182e-08,2.34349888321754e-08,2.25262194456894e-08,1.82107440061035e-08,8.28928563758955e-09
"[5,10)",1.9656708279145e-07,4.07299910861372e-07,3.39158236153032e-07,1.56552080962977e-07,2.77041117358193e-08,3.59823847818104e-08,5.83325736557202e-08,9.42916039724845e-08,9.38266122990725e-08,6.90073385311787e-08,4.25391605034996e-08,2.61650194252624e-08,2.19769088186695e-08,1.58516613617196e-08,9.84711632104995e-09
"[10,15)",1.63977983559755e-07,3.39158236153032e-07,3.61268218360111e-07,2.23789077360044e-07,3.61493998280621e-08,3.28353678889151e-08,4.5226975645969e-08,7.29979378333204e-08,8.47190859246363e-08,8.68490907504599e-08,6.25890001705479e-08,3.88197452966355e-08,2.67906447442974e-08,1.51073832327151e-08,1.10696517685301e-08
"[15,20)",9.10837540479427e-08,1.56552080962977e-07,2.23789077360044e-07,1.74582234789688e-07,6.13698191330865e-08,4.95328123554368e-08,3.84797623588393e-08,4.30987111071441e-08,5.86088593870946e-08,7.04982957167194e-08,6.53325613335692e-08,4.76378794774416e-08,3.20367032802994e-08,1.82218555645067e-08,1.21133540556726e-08
"[20,25)",3.54478782453901e-08,2.77041117358193e-08,3.61493998280621e-08,6.13698191330865e-08,9.97196451652794e-08,8.54606210025898e-08,5.33348351619428e-08,3.44009162048592e-08,3.82813304455067e-08,4.35118397718598e-08,5.3905036809858e-08,5.52020722939684e-08,4.08663173956936e-08,2.6494445399392e-08,1.79041911153456e-08
"[25,30)",5.99057652731282e-08,3.59823847818104e-08,3.28353678889151e-08,4.95328123554368e-08,8.54606210025898e-08,7.2696387548559e-08,7.36822635828063e-08,5.45539845335935e-08,3.56654909597796e-08,4.07004267890521e-08,4.61686463093036e-08,4.88445656860866e-08,4.59247021286439e-08,3.07609397444682e-08,1.96931243258847e-08
"[30,35)",9.32343059448321e-08,5.83325736557202e-08,4.5226975645969e-08,3.84797623588393e-08,5.33348351619428e-08,7.36822635828063e-08,7.39795261128419e-08,7.29272277933371e-08,5.14849645581632e-08,3.24837042871634e-08,3.90947717856591e-08,4.3023593023423e-08,3.93258717968119e-08,3.4556323400767e-08,2.03816911277324e-08
"[35,40)",1.09440904727748e-07,9.42916039724845e-08,7.29979378333203e-08,4.30987111071441e-08,3.44009162048592e-08,5.45539845335935e-08,7.29272277933371e-08,7.27487971180844e-08,6.5349529547915e-08,4.90667901648244e-08,3.43321035121835e-08,3.8568916869505e-08,3.85427051136072e-08,3.57272351784465e-08,2.52939492671345e-08
"[40,45)",7.34080974299858e-08,9.38266122990725e-08,8.47190859246363e-08,5.86088593870946e-08,3.82813304455067e-08,3.56654909597796e-08,5.14849645581632e-08,6.53495295479151e-08,6.34610269131322e-08,6.42538525910391e-08,5.03836515625855e-08,3.57953300548354e-08,3.61596378738137e-08,3.25564646576287e-08,2.92588769044108e-08
"[45,50)",3.15475573043622e-08,6.90073385311787e-08,8.68490907504599e-08,7.04982957167194e-08,4.35118397718598e-08,4.07004267890521e-08,3.24837042871634e-08,4.90667901648244e-08,6.42538525910391e-08,6.17433932847878e-08,6.44657847040781e-08,4.95944082236582e-08,3.31666055079108e-08,2.89033469096356e-08,2.82628447717859e-08
"[50,55)",2.15627047361182e-08,4.25391605034996e-08,6.25890001705479e-08,6.53325613335692e-08,5.3905036809858e-08,4.61686463093036e-08,3.90947717856591e-08,3.43321035121835e-08,5.03836515625855e-08,6.44657847040781e-08,6.79493458040571e-08,7.02035047252332e-08,5.20649452932687e-08,2.92529356048677e-08,3.09576404933343e-08
"[55,60)",2.34349888321754e-08,2.61650194252624e-08,3.88197452966356e-08,4.76378794774416e-08,5.52020722939684e-08,4.88445656860866e-08,4.3023593023423e-08,3.8568916869505e-08,3.57953300548354e-08,4.95944082236582e-08,7.02035047252332e-08,7.46571099063687e-08,7.18463909585463e-08,4.97562420687611e-08,3.00729145285538e-08
"[60,65)",2.25262194456894e-08,2.19769088186695e-08,2.67906447442974e-08,3.20367032802994e-08,4.08663173956936e-08,4.59247021286439e-08,3.93258717968119e-08,3.85427051136072e-08,3.61596378738137e-08,3.31666055079107e-08,5.20649452932687e-08,7.18463909585463e-08,7.0830282204861e-08,8.26169902786327e-08,3.37098699936557e-08
"[65,70)",1.82107440061035e-08,1.58516613617196e-08,1.51073832327151e-08,1.82218555645067e-08,2.6494445399392e-08,3.07609397444682e-08,3.4556323400767e-08,3.57272351784465e-08,3.25564646576287e-08,2.89033469096356e-08,2.92529356048677e-08,4.97562420687611e-08,8.26169902786327e-08,9.38044758033436e-08,4.64142561057246e-08
"70+",8.28928563758955e-09,9.84711632104995e-09,1.10696517685301e-08,1.21133540556726e-08,1.79041911153456e-08,1.96931243258847e-08,2.03816911277324e-08,2.52939492671345e-08,2.92588769044108e-08,2.82628447717859e-08,3.09576404933343e-08,3.00729145285538e-08,3.37098699936557e-08,4.64142561057246e-08,9.07734225356815e-08
