"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",5.33141173118706e-07,2.31257189102053e-07,1.20582197059018e-07,7.56385088083319e-08,1.34709098084809e-07,2.20161572241805e-07,2.11704292237196e-07,2.37720542964771e-07,9.30489909636604e-08,7.52850315594175e-08,9.78770005298972e-08,8.11876354133776e-08,6.92706564484796e-08,3.92432033763848e-08,2.63218356432791e-08
"[5,10)",2.31257189102053e-07,1.84872019084696e-06,3.13952041032956e-07,1.51666865534861e-07,1.35885730458976e-07,1.90823730826403e-07,2.5339320789532e-07,3.27949796683947e-07,2.3798775571865e-07,9.65981050823532e-08,9.38438268402924e-08,6.52708461592706e-08,1.03942884451572e-07,9.72462918867084e-08,4.89002350082092e-08
"[10,15)",1.20582197059018e-07,3.13952041032956e-07,1.81384394317974e-06,3.19838841872753e-07,6.61313145890692e-08,9.68718327047544e-08,1.36751956044792e-07,2.37001470711162e-07,2.58056010247837e-07,1.85656239395792e-07,1.18122849729422e-07,9.01442275448776e-08,6.29513414975295e-08,7.17455959567907e-08,6.76203157104786e-08
"[15,20)",7.56385088083319e-08,1.51666865534861e-07,3.19838841872753e-07,1.63193172997759e-06,2.93329339148482e-07,1.89321636104138e-07,1.12053223454509e-07,1.86721858203079e-07,1.99176099662308e-07,2.24852010204664e-07,1.63668588331684e-07,8.20228923399608e-08,6.18818615106782e-08,1.13256183363719e-07,9.36946453766641e-08
"[20,25)",1.34709098084809e-07,1.35885730458976e-07,6.61313145890692e-08,2.93329339148482e-07,6.63055651363529e-07,3.59429401958914e-07,2.0328469959848e-07,1.57697814570959e-07,1.64549575519485e-07,2.6439647186154e-07,1.65701538180084e-07,1.19473949959816e-07,1.05215793403797e-07,9.81212322715154e-08,6.22250787824731e-08
"[25,30)",2.20161572241805e-07,1.90823730826403e-07,9.68718327047545e-08,1.89321636104138e-07,3.59429401958914e-07,4.72914054913303e-07,2.69776534492897e-07,1.94323452966556e-07,1.87720041955971e-07,2.28798762503462e-07,2.35016012921613e-07,1.84941516207297e-07,1.5378075923933e-07,1.45975798032388e-07,4.81743918412896e-08
"[30,35)",2.11704292237196e-07,2.5339320789532e-07,1.36751956044792e-07,1.12053223454509e-07,2.0328469959848e-07,2.69776534492897e-07,3.86389677970041e-07,2.69037962737803e-07,2.12983669345752e-07,1.8854900009182e-07,1.74904147811473e-07,1.69567572577662e-07,1.46121334386277e-07,9.61227732408282e-08,4.84246619331916e-08
"[35,40)",2.37720542964771e-07,3.27949796683947e-07,2.37001470711162e-07,1.86721858203079e-07,1.57697814570959e-07,1.94323452966556e-07,2.69037962737803e-07,3.19591445521051e-07,2.64924835767844e-07,2.19705368933743e-07,1.8182374883375e-07,1.4159343205725e-07,1.77030339802389e-07,1.78630414320974e-07,5.9770509769554e-08
"[40,45)",9.30489909636604e-08,2.3798775571865e-07,2.58056010247837e-07,1.99176099662308e-07,1.64549575519485e-07,1.87720041955971e-07,2.12983669345752e-07,2.64924835767844e-07,2.92997717538967e-07,3.03646712966986e-07,1.94489100935447e-07,1.52094734034065e-07,1.69310564158773e-07,1.38533969688259e-07,1.20739807229065e-07
"[45,50)",7.52850315594175e-08,9.65981050823532e-08,1.85656239395792e-07,2.24852010204664e-07,2.6439647186154e-07,2.28798762503462e-07,1.8854900009182e-07,2.19705368933743e-07,3.03646712966986e-07,4.68884497537038e-07,2.1982167586906e-07,1.81772815244005e-07,1.73091102303819e-07,1.05989821176467e-07,1.06000517348598e-07
"[50,55)",9.78770005298972e-08,9.38438268402924e-08,1.18122849729422e-07,1.63668588331684e-07,1.65701538180084e-07,2.35016012921613e-07,1.74904147811473e-07,1.8182374883375e-07,1.94489100935447e-07,2.1982167586906e-07,2.16895534102289e-07,2.5368820905359e-07,1.45279158631542e-07,1.08613441960741e-07,1.40767380060067e-07
"[55,60)",8.11876354133776e-08,6.52708461592706e-08,9.01442275448776e-08,8.20228923399608e-08,1.19473949959816e-07,1.84941516207297e-07,1.69567572577662e-07,1.4159343205725e-07,1.52094734034065e-07,1.81772815244005e-07,2.5368820905359e-07,3.30501444547014e-07,2.64516519834861e-07,1.58995381383827e-07,1.07211419907848e-07
"[60,65)",6.92706564484796e-08,1.03942884451572e-07,6.29513414975295e-08,6.18818615106782e-08,1.05215793403797e-07,1.5378075923933e-07,1.46121334386277e-07,1.77030339802389e-07,1.69310564158773e-07,1.73091102303819e-07,1.45279158631542e-07,2.64516519834861e-07,2.08727259390439e-07,2.41996987120248e-07,1.29747730892152e-07
"[65,70)",3.92432033763848e-08,9.72462918867084e-08,7.17455959567907e-08,1.13256183363719e-07,9.81212322715153e-08,1.45975798032388e-07,9.61227732408282e-08,1.78630414320974e-07,1.38533969688259e-07,1.05989821176467e-07,1.08613441960741e-07,1.58995381383827e-07,2.41996987120248e-07,2.80057828535484e-07,1.72658174485835e-07
"70+",2.63218356432791e-08,4.89002350082092e-08,6.76203157104786e-08,9.36946453766641e-08,6.22250787824731e-08,4.81743918412896e-08,4.84246619331916e-08,5.9770509769554e-08,1.20739807229065e-07,1.06000517348598e-07,1.40767380060067e-07,1.07211419907848e-07,1.29747730892152e-07,1.72658174485835e-07,1.97978352221502e-07
