"","Country","n_3","n_4","n_5","n_6","n_7","n_8","n_9","n_10"
"1","Austria (C)","3","3","1","3","5","8","7","1"
"2","Croatia (C)","3","2","5","6","4","4","6","7"
"3","Denmark (C)","3","3","1","3","5","8","8","9"
"4","Estonia (C)","3","3","1","3","5","8","7","1"
"5","Finland (C)","3","3","4","5","6","3","9","5"
"6","France (C)","3","3","1","3","5","8","8","9"
"7","Greece (C)","3","2","5","1","1","5","3","4"
"8","Hungary (C)","3","2","5","6","4","4","6","3"
"9","Italy (C)","3","2","5","1","1","5","3","4"
"10","Lithuania (C)","3","3","1","3","5","8","8","9"
"11","Netherlands (C)","2","3","4","5","6","3","9","5"
"12","Portugal (C)","3","2","5","1","1","5","3","4"
"13","Slovakia (C)","3","2","5","6","4","4","6","3"
"14","Slovenia (C)","3","2","5","6","4","4","6","7"
"15","Spain (C)","3","2","5","1","1","5","3","4"
"16","Switzerland (C)","3","3","1","3","5","8","7","1"
"17","United Kingdom (C)","3","3","1","3","5","8","7","1"
"18","Belgium, 2006","2","4","3","5","7","7","1","8"
"19","Belgium, 2010","2","4","3","4","3","1","4","10"
"20","China (Shanghai), 2018","1","1","2","2","2","2","2","2"
"21","France, 2012","2","4","3","4","3","1","4","10"
"22","Hong Kong, 2016","2","4","4","1","1","6","5","6"
"23","Peru, 2011","1","1","2","2","2","2","2","2"
"24","Zimbabwe, 2013","1","1","2","2","2","2","2","2"
"25","Italy (P)","2","4","3","4","3","6","5","6"
"26","Germany (P)","2","4","3","4","3","1","4","10"
"27","Luxembourg (P)","2","4","3","4","3","1","4","10"
"28","Netherlands (P)","1","1","2","2","2","2","2","2"
"29","Poland (P)","2","4","3","5","7","7","1","8"
"30","United Kingdom (P)","2","4","3","4","3","1","4","10"
"31","Finland (P)","2","4","4","5","6","3","9","5"
"32","Belgium (P)","2","4","4","5","7","7","1","8"
