"","Country","n_3","n_4","n_5","n_6","n_7","n_8","n_9","n_10"
"1","Austria (C)","3","3","2","6","5","7","7","4"
"2","Croatia (C)","3","2","3","3","7","1","8","3"
"3","Denmark (C)","3","3","2","6","5","4","5","1"
"4","Estonia (C)","3","3","2","6","5","7","7","4"
"5","Finland (C)","3","3","5","4","6","3","9","7"
"6","France (C)","3","3","2","6","5","4","5","1"
"7","Greece (C)","3","2","3","5","1","5","3","8"
"8","Hungary (C)","3","2","3","3","7","1","8","3"
"9","Italy (C)","3","2","3","5","1","5","3","8"
"10","Lithuania (C)","3","3","2","6","5","4","5","1"
"11","Netherlands (C)","2","4","5","4","6","3","9","7"
"12","Portugal (C)","3","2","3","5","1","5","3","8"
"13","Slovakia (C)","3","2","3","3","7","1","8","3"
"14","Slovenia (C)","3","2","3","3","7","1","8","3"
"15","Spain (C)","3","2","3","5","1","5","3","8"
"16","Switzerland (C)","3","3","2","6","5","7","7","4"
"17","United Kingdom (C)","3","3","2","6","5","7","7","4"
"18","Belgium, 2006","2","4","4","1","4","8","1","10"
"19","Belgium, 2010","2","4","4","1","3","2","4","5"
"20","China (Shanghai), 2018","1","1","1","2","2","6","2","6"
"21","France, 2012","2","4","4","1","3","2","4","5"
"22","Hong Kong, 2016","2","4","5","5","1","7","6","2"
"23","Peru, 2011","1","1","1","2","2","6","2","6"
"24","Zimbabwe, 2013","1","1","1","2","2","6","2","6"
"25","Italy (P)","2","4","4","1","3","7","6","2"
"26","Germany (P)","2","4","4","1","3","2","4","9"
"27","Luxembourg (P)","2","4","4","1","3","2","4","5"
"28","Netherlands (P)","1","1","1","2","2","6","2","6"
"29","Poland (P)","2","4","4","1","4","8","1","10"
"30","United Kingdom (P)","3","2","3","3","7","2","4","9"
"31","Finland (P)","2","4","5","4","6","3","9","7"
"32","Belgium (P)","2","4","4","1","4","8","1","10"
