"","Country","n_3","n_4","n_5","n_6","n_7","n_8","n_9","n_10"
"1","Austria (C)","3","3","2","4","2","8","7","9"
"2","Croatia (C)","3","2","3","2","7","4","8","3"
"3","Denmark (C)","3","3","2","4","2","8","6","1"
"4","Estonia (C)","3","3","2","4","2","8","7","9"
"5","Finland (C)","3","3","5","3","6","3","9","7"
"6","France (C)","3","3","2","4","2","8","6","1"
"7","Greece (C)","3","2","3","6","1","5","3","8"
"8","Hungary (C)","3","2","3","2","7","4","8","3"
"9","Italy (C)","3","2","3","6","1","5","3","8"
"10","Lithuania (C)","3","3","2","4","2","8","6","1"
"11","Netherlands (C)","2","4","5","3","6","3","9","7"
"12","Portugal (C)","3","2","3","6","1","5","3","8"
"13","Slovakia (C)","3","2","3","2","7","4","8","3"
"14","Slovenia (C)","3","2","3","2","7","4","8","3"
"15","Spain (C)","3","2","3","6","1","5","3","8"
"16","Switzerland (C)","3","3","2","4","2","8","7","9"
"17","United Kingdom (C)","3","3","2","4","2","8","7","9"
"18","Belgium, 2006","2","4","4","5","5","7","1","10"
"19","Belgium, 2010","2","4","4","5","4","1","5","5"
"20","China (Shanghai), 2018","1","1","1","1","3","2","2","6"
"21","France, 2012","2","4","4","5","4","1","5","5"
"22","Hong Kong, 2016","2","4","5","6","1","6","4","2"
"23","Peru, 2011","1","1","1","1","3","2","2","6"
"24","Zimbabwe, 2013","1","1","1","1","3","2","2","6"
"25","Italy (P)","2","4","4","5","4","6","4","2"
"26","Germany (P)","2","4","4","5","4","1","5","4"
"27","Luxembourg (P)","2","4","4","5","4","1","5","5"
"28","Netherlands (P)","1","1","1","1","3","2","2","6"
"29","Poland (P)","2","4","4","5","5","7","1","10"
"30","United Kingdom (P)","3","2","3","2","7","4","8","4"
"31","Finland (P)","2","4","5","3","6","3","9","7"
"32","Belgium (P)","2","4","4","5","5","7","1","10"
