"","Country","n_3","n_4","n_5","n_6","n_7","n_8","n_9","n_10"
"1","Austria (C)","3","2","5","2","5","7","1","9"
"2","Croatia (C)","3","2","5","2","6","1","4","10"
"3","Denmark (C)","3","3","4","3","4","6","6","3"
"4","Estonia (C)","3","3","4","3","4","6","6","3"
"5","Finland (C)","3","3","4","3","5","4","3","1"
"6","France (C)","3","2","5","2","5","7","1","5"
"7","Greece (C)","3","2","5","3","4","4","3","5"
"8","Hungary (C)","3","2","5","2","6","1","4","10"
"9","Italy (C)","3","2","5","2","6","7","1","9"
"10","Lithuania (C)","3","3","4","3","4","4","3","1"
"11","Netherlands (C)","3","3","4","5","7","3","7","4"
"12","Portugal (C)","3","2","5","3","5","4","3","5"
"13","Slovakia (C)","3","3","4","3","4","4","3","1"
"14","Slovenia (C)","3","3","4","5","7","3","7","1"
"15","Spain (C)","3","2","5","2","5","7","1","9"
"16","Switzerland (C)","3","3","4","5","7","3","7","4"
"17","United Kingdom (C)","3","3","4","5","7","3","7","4"
"18","Belgium, 2006","2","1","3","1","3","8","2","8"
"19","Belgium, 2010","2","1","1","6","1","2","9","7"
"20","China (Shanghai), 2018","1","4","2","4","2","5","8","2"
"21","France, 2012","2","1","3","1","3","8","9","7"
"22","Hong Kong, 2016","1","4","2","4","2","5","8","2"
"23","Peru, 2011","1","4","2","4","2","5","5","6"
"24","Zimbabwe, 2013","1","4","2","4","2","5","5","6"
"25","Italy (P)","2","1","1","6","1","2","9","7"
"26","Germany (P)","2","1","1","6","1","2","9","7"
"27","Luxembourg (P)","2","1","3","1","3","8","2","8"
"28","Netherlands (P)","1","4","2","4","2","5","5","6"
"29","Poland (P)","2","1","3","1","3","8","2","8"
"30","United Kingdom (P)","2","1","3","1","3","8","2","8"
"31","Finland (P)","1","4","1","6","1","2","8","2"
"32","Belgium (P)","2","1","1","6","1","2","9","7"
