"","Country","n_3","n_4","n_5","n_6","n_7","n_8","n_9","n_10"
"1","Austria (C)","1","1","5","5","5","7","3","5"
"2","Croatia (C)","1","1","5","3","5","7","3","9"
"3","Denmark (C)","1","3","4","6","4","4","7","1"
"4","Estonia (C)","1","3","4","6","4","4","7","1"
"5","Finland (C)","1","3","4","6","4","4","7","5"
"6","France (C)","1","1","5","5","5","7","4","4"
"7","Greece (C)","1","3","4","6","4","4","7","1"
"8","Hungary (C)","1","1","5","3","6","1","1","5"
"9","Italy (C)","1","3","4","3","6","1","1","3"
"10","Lithuania (C)","1","3","4","3","6","1","1","3"
"11","Netherlands (C)","1","1","5","5","1","3","5","2"
"12","Portugal (C)","1","1","5","5","1","3","4","4"
"13","Slovakia (C)","1","3","4","3","6","1","1","3"
"14","Slovenia (C)","1","1","5","5","1","7","5","5"
"15","Spain (C)","1","3","4","3","6","1","1","3"
"16","Switzerland (C)","1","1","5","5","1","3","5","2"
"17","United Kingdom (C)","1","1","5","5","1","3","4","4"
"18","Belgium, 2006","2","4","1","1","7","2","6","8"
"19","Belgium, 2010","2","4","3","4","3","6","8","7"
"20","China (Shanghai), 2018","3","2","2","2","2","5","9","10"
"21","France, 2012","2","4","3","3","3","6","8","9"
"22","Hong Kong, 2016","3","2","2","2","2","5","9","10"
"23","Peru, 2011","3","2","2","2","2","8","2","6"
"24","Zimbabwe, 2013","3","2","2","2","2","8","2","6"
"25","Italy (P)","3","2","2","2","2","5","9","10"
"26","Germany (P)","2","4","3","4","3","6","8","7"
"27","Luxembourg (P)","2","4","1","1","7","2","6","8"
"28","Netherlands (P)","3","2","2","2","2","8","2","6"
"29","Poland (P)","1","1","5","3","5","7","3","9"
"30","United Kingdom (P)","2","4","1","1","7","2","6","8"
"31","Finland (P)","2","4","3","4","3","6","8","7"
"32","Belgium (P)","2","4","3","4","3","6","8","7"
