"","Country A","Country B","KL divergence - per capita"
"1","Austria (C)","Austria (C)","0"
"2","Austria (C)","Croatia (C)","0.0589808668865687"
"3","Austria (C)","Denmark (C)","0.052854960122401"
"4","Austria (C)","Estonia (C)","0.0483965885010395"
"5","Austria (C)","Finland (C)","0.0724023722391282"
"6","Austria (C)","France (C)","0.0559473009984732"
"7","Austria (C)","Greece (C)","0.0735031031880112"
"8","Austria (C)","Hungary (C)","0.0610530767129077"
"9","Austria (C)","Italy (C)","0.0983055730735675"
"10","Austria (C)","Lithuania (C)","0.0414670326658657"
"11","Austria (C)","Netherlands (C)","0.137459068980605"
"12","Austria (C)","Portugal (C)","0.0914271207558154"
"13","Austria (C)","Slovakia (C)","0.0614850559099126"
"14","Austria (C)","Slovenia (C)","0.0590785256283533"
"15","Austria (C)","Spain (C)","0.0923624052776473"
"16","Austria (C)","Switzerland (C)","0.0290807945799304"
"17","Austria (C)","United Kingdom (C)","0.028741489573596"
"18","Austria (C)","Belgium, 2006","0.166284111387274"
"19","Austria (C)","Belgium, 2010","0.156395921306327"
"20","Austria (C)","China (Shanghai), 2018","0.488987369300271"
"21","Austria (C)","France, 2012","0.11255223158665"
"22","Austria (C)","Hong Kong, 2016","0.172889127205663"
"23","Austria (C)","Peru, 2011","0.46894250372328"
"24","Austria (C)","Zimbabwe, 2013","0.421086460912848"
"25","Austria (C)","Italy (P)","0.16262424245335"
"26","Austria (C)","Germany (P)","0.0914515236622569"
"27","Austria (C)","Luxembourg (P)","0.122136120322357"
"28","Austria (C)","Netherlands (P)","0.668182414045725"
"29","Austria (C)","Poland (P)","0.170827890459956"
"30","Austria (C)","United Kingdom (P)","0.0983667511007471"
"31","Austria (C)","Finland (P)","0.137576168453294"
"32","Austria (C)","Belgium (P)","0.208640550039186"
"33","Croatia (C)","Austria (C)","0.0589808668865687"
"34","Croatia (C)","Croatia (C)","0"
"35","Croatia (C)","Denmark (C)","0.0920689618201187"
"36","Croatia (C)","Estonia (C)","0.0622779816661241"
"37","Croatia (C)","Finland (C)","0.141993400560638"
"38","Croatia (C)","France (C)","0.0907478321931333"
"39","Croatia (C)","Greece (C)","0.0474272714654067"
"40","Croatia (C)","Hungary (C)","0.0609859413188886"
"41","Croatia (C)","Italy (C)","0.0785456224344964"
"42","Croatia (C)","Lithuania (C)","0.0849120896309695"
"43","Croatia (C)","Netherlands (C)","0.141524794489776"
"44","Croatia (C)","Portugal (C)","0.0493503854165317"
"45","Croatia (C)","Slovakia (C)","0.0349845684486256"
"46","Croatia (C)","Slovenia (C)","0.0243353399310766"
"47","Croatia (C)","Spain (C)","0.0480228004640705"
"48","Croatia (C)","Switzerland (C)","0.0590812860012556"
"49","Croatia (C)","United Kingdom (C)","0.0486910462900247"
"50","Croatia (C)","Belgium, 2006","0.112887406340891"
"51","Croatia (C)","Belgium, 2010","0.107425859414896"
"52","Croatia (C)","China (Shanghai), 2018","0.388949835629205"
"53","Croatia (C)","France, 2012","0.0762584610294903"
"54","Croatia (C)","Hong Kong, 2016","0.10899904875016"
"55","Croatia (C)","Peru, 2011","0.418638972894522"
"56","Croatia (C)","Zimbabwe, 2013","0.304654584748754"
"57","Croatia (C)","Italy (P)","0.0883265917282601"
"58","Croatia (C)","Germany (P)","0.0892212726682249"
