"","Country A","Country B","KL divergence - per capita"
"1","Austria (C)","Austria (C)","0"
"2","Austria (C)","Croatia (C)","0.190097239163163"
"3","Austria (C)","Denmark (C)","0.320064640678939"
"4","Austria (C)","Estonia (C)","0.232201355744416"
"5","Austria (C)","Finland (C)","0.121547055085173"
"6","Austria (C)","France (C)","0.159726387025557"
"7","Austria (C)","Greece (C)","0.198966471048681"
"8","Austria (C)","Hungary (C)","0.181700596494038"
"9","Austria (C)","Italy (C)","0.168511345190159"
"10","Austria (C)","Lithuania (C)","0.170427140487503"
"11","Austria (C)","Netherlands (C)","0.165057772617554"
"12","Austria (C)","Portugal (C)","0.129513495870041"
"13","Austria (C)","Slovakia (C)","0.180926323451016"
"14","Austria (C)","Slovenia (C)","0.175644109692014"
"15","Austria (C)","Spain (C)","0.255486701191013"
"16","Austria (C)","Switzerland (C)","0.175989672801684"
"17","Austria (C)","United Kingdom (C)","0.168266376787708"
"18","Austria (C)","Belgium, 2006","0.357310980124723"
"19","Austria (C)","Belgium, 2010","0.650975396043979"
"20","Austria (C)","China (Shanghai), 2018","1.15685435471367"
"21","Austria (C)","France, 2012","0.57937013854051"
"22","Austria (C)","Hong Kong, 2016","0.932794976144371"
"23","Austria (C)","Peru, 2011","3.83799290554606"
"24","Austria (C)","Zimbabwe, 2013","1.47796621201864"
"25","Austria (C)","Italy (P)","0.76372290113011"
"26","Austria (C)","Germany (P)","0.579165047097927"
"27","Austria (C)","Luxembourg (P)","0.446052556434456"
"28","Austria (C)","Netherlands (P)","1.28128862859951"
"29","Austria (C)","Poland (P)","0.325843993657879"
"30","Austria (C)","United Kingdom (P)","0.372671068471167"
"31","Austria (C)","Finland (P)","0.903133891549926"
"32","Austria (C)","Belgium (P)","0.701871572671168"
"33","Croatia (C)","Austria (C)","0.190097239163163"
"34","Croatia (C)","Croatia (C)","0"
"35","Croatia (C)","Denmark (C)","0.222837040866525"
"36","Croatia (C)","Estonia (C)","0.16140386120259"
"37","Croatia (C)","Finland (C)","0.163579215845859"
"38","Croatia (C)","France (C)","0.139777669432922"
"39","Croatia (C)","Greece (C)","0.148258548315735"
"40","Croatia (C)","Hungary (C)","0.121104437267104"
"41","Croatia (C)","Italy (C)","0.19343227851394"
"42","Croatia (C)","Lithuania (C)","0.112847483603414"
"43","Croatia (C)","Netherlands (C)","0.2535387217517"
"44","Croatia (C)","Portugal (C)","0.148810036256181"
"45","Croatia (C)","Slovakia (C)","0.140553838038799"
"46","Croatia (C)","Slovenia (C)","0.129721342809448"
"47","Croatia (C)","Spain (C)","0.209483434746183"
"48","Croatia (C)","Switzerland (C)","0.153354896161569"
"49","Croatia (C)","United Kingdom (C)","0.155279361301065"
"50","Croatia (C)","Belgium, 2006","0.436335327330564"
"51","Croatia (C)","Belgium, 2010","0.398751825649173"
"52","Croatia (C)","China (Shanghai), 2018","0.870548369332322"
"53","Croatia (C)","France, 2012","0.40504692608686"
"54","Croatia (C)","Hong Kong, 2016","0.701610731981678"
"55","Croatia (C)","Peru, 2011","3.2347245307571"
"56","Croatia (C)","Zimbabwe, 2013","1.2718761992684"
"57","Croatia (C)","Italy (P)","0.505125014687623"
"58","Croatia (C)","Germany (P)","0.485649783225993"
