"","Country A","Country B","KL divergence - per capita"
"1","Austria (C)","Austria (C)","0"
"2","Austria (C)","Croatia (C)","0.263372236091602"
"3","Austria (C)","Denmark (C)","0.528139440076883"
"4","Austria (C)","Estonia (C)","0.324137775457301"
"5","Austria (C)","Finland (C)","0.220299772025903"
"6","Austria (C)","France (C)","0.185360083708893"
"7","Austria (C)","Greece (C)","0.314582973162087"
"8","Austria (C)","Hungary (C)","0.234891374298369"
"9","Austria (C)","Italy (C)","0.33745794266358"
"10","Austria (C)","Lithuania (C)","0.315235073799249"
"11","Austria (C)","Netherlands (C)","0.190387927946595"
"12","Austria (C)","Portugal (C)","0.239658266468807"
"13","Austria (C)","Slovakia (C)","0.315494657067053"
"14","Austria (C)","Slovenia (C)","0.241959167493754"
"15","Austria (C)","Spain (C)","0.343825489400528"
"16","Austria (C)","Switzerland (C)","0.313951781008824"
"17","Austria (C)","United Kingdom (C)","0.153110137740203"
"18","Austria (C)","Belgium, 2006","0.355423799748431"
"19","Austria (C)","Belgium, 2010","0.492317238378382"
"20","Austria (C)","China (Shanghai), 2018","0.888440978118854"
"21","Austria (C)","France, 2012","0.33154526524591"
"22","Austria (C)","Hong Kong, 2016","0.740684646964374"
"23","Austria (C)","Peru, 2011","3.73038733857515"
"24","Austria (C)","Zimbabwe, 2013","1.14313897160939"
"25","Austria (C)","Italy (P)","0.684770648258294"
"26","Austria (C)","Germany (P)","0.461235597595045"
"27","Austria (C)","Luxembourg (P)","0.294027142719109"
"28","Austria (C)","Netherlands (P)","1.10877489981459"
"29","Austria (C)","Poland (P)","0.200949314833479"
"30","Austria (C)","United Kingdom (P)","0.485554073344197"
"31","Austria (C)","Finland (P)","0.529562247391555"
"32","Austria (C)","Belgium (P)","0.403105122385854"
"33","Croatia (C)","Austria (C)","0.263372236091602"
"34","Croatia (C)","Croatia (C)","0"
"35","Croatia (C)","Denmark (C)","0.471211713170609"
"36","Croatia (C)","Estonia (C)","0.357954019439253"
"37","Croatia (C)","Finland (C)","0.323359748934176"
"38","Croatia (C)","France (C)","0.250591944691958"
"39","Croatia (C)","Greece (C)","0.516186256791324"
"40","Croatia (C)","Hungary (C)","0.258320222971893"
"41","Croatia (C)","Italy (C)","0.364280061812607"
"42","Croatia (C)","Lithuania (C)","0.235899325949613"
"43","Croatia (C)","Netherlands (C)","0.363501463362479"
"44","Croatia (C)","Portugal (C)","0.307702195779527"
"45","Croatia (C)","Slovakia (C)","0.26412644735107"
"46","Croatia (C)","Slovenia (C)","0.234811150199702"
"47","Croatia (C)","Spain (C)","0.270348648403481"
"48","Croatia (C)","Switzerland (C)","0.27525484056229"
"49","Croatia (C)","United Kingdom (C)","0.194758295151291"
"50","Croatia (C)","Belgium, 2006","0.543876947286227"
"51","Croatia (C)","Belgium, 2010","0.34431902978143"
"52","Croatia (C)","China (Shanghai), 2018","0.737574302162022"
"53","Croatia (C)","France, 2012","0.353330236948772"
"54","Croatia (C)","Hong Kong, 2016","0.766969117747292"
"55","Croatia (C)","Peru, 2011","3.116571546818"
"56","Croatia (C)","Zimbabwe, 2013","1.05722309644962"
"57","Croatia (C)","Italy (P)","0.464727335477287"
"58","Croatia (C)","Germany (P)","0.393829045795651"
"59","Croatia (C)","Luxembourg (P)","0.398633840804585"
"60","Croatia (C)","Netherlands (P)","1.24717202424744"
"61","Croatia (C)","Poland (P)","0.219219033639846"
"62","Croatia (C)","United Kingdom (P)","0.381919249546655"
"63","Croatia (C)","Finland (P)","0.619039587536911"
"64","Croatia (C)","Belgium (P)","0.37240961424066"
"65","Denmark (C)","Austria (C)","0.528139440076883"
"66","Denmark (C)","Croatia (C)","0.471211713170609"
"67","Denmark (C)","Denmark (C)","0"
"68","Denmark (C)","Estonia (C)","0.243748125590325"
"69","Denmark (C)","Finland (C)","0.209479388101191"
"70","Denmark (C)","France (C)","0.421015634536173"
"71","Denmark (C)","Greece (C)","0.503228853092536"
"72","Denmark (C)","Hungary (C)","0.441005502554902"
"73","Denmark (C)","Italy (C)","0.414237926067361"
"74","Denmark (C)","Lithuania (C)","0.382276671757537"
"75","Denmark (C)","Netherlands (C)","0.472259881761034"
"76","Denmark (C)","Portugal (C)","0.313276392859159"
"77","Denmark (C)","Slovakia (C)","0.260529196985918"
"78","Denmark (C)","Slovenia (C)","0.424709917782393"
"79","Denmark (C)","Spain (C)","0.48078266300527"
"80","Denmark (C)","Switzerland (C)","0.378561680956133"
"81","Denmark (C)","United Kingdom (C)","0.162404750703371"
"82","Denmark (C)","Belgium, 2006","0.638266450292262"
"83","Denmark (C)","Belgium, 2010","0.763772581240842"
