"","Country","n_3","n_4","n_5","n_6","n_7","n_8","n_9","n_10"
"1","Austria (C)","1","2","1","6","4","8","4","6"
"2","Croatia (C)","1","1","3","1","3","6","1","10"
"3","Denmark (C)","1","2","1","6","1","1","4","6"
"4","Estonia (C)","1","2","3","1","3","6","1","9"
"5","Finland (C)","1","1","5","5","5","4","7","10"
"6","France (C)","1","1","5","5","5","4","7","2"
"7","Greece (C)","1","2","3","1","4","8","4","4"
"8","Hungary (C)","1","2","3","1","4","8","4","6"
"9","Italy (C)","1","2","3","1","4","8","2","4"
"10","Lithuania (C)","1","2","1","6","1","1","5","8"
"11","Netherlands (C)","1","2","3","1","4","8","4","4"
"12","Portugal (C)","1","1","5","5","5","4","7","2"
"13","Slovakia (C)","1","2","3","1","3","6","2","9"
"14","Slovenia (C)","1","2","1","6","1","1","5","8"
"15","Spain (C)","1","1","5","5","5","4","7","2"
"16","Switzerland (C)","1","2","3","1","3","6","1","10"
"17","United Kingdom (C)","1","2","3","1","3","6","2","9"
"18","Belgium, 2006","3","4","4","4","7","2","8","5"
"19","Belgium, 2010","3","4","4","3","6","7","3","7"
"20","China (Shanghai), 2018","2","3","2","2","2","3","6","1"
"21","China (Wuhan), 2019","2","3","2","2","2","3","6","1"
"22","France, 2012","3","4","4","3","6","7","3","7"
"23","Hong Kong, 2016","3","4","4","4","7","5","9","3"
"24","Peru, 2011","2","3","2","4","7","5","9","3"
"25","Zimbabwe, 2013","2","3","2","2","2","3","6","1"
"26","Italy (P)","3","4","4","4","7","5","9","3"
"27","Germany (P)","3","4","4","3","6","7","3","7"
"28","Luxembourg (P)","3","4","4","4","7","2","8","5"
"29","Netherlands (P)","3","4","4","4","7","5","9","3"
"30","Poland (P)","3","4","4","4","7","2","8","5"
"31","United Kingdom (P)","3","4","4","3","6","7","3","7"
"32","Finland (P)","3","4","4","3","6","7","3","7"
"33","Belgium (P)","3","4","4","3","6","2","8","5"
