"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0166158058965698	0.0291838334716376	0.0275044125732712	0.0159661437903696	0.00231444815557182	0.00224052008935258	0.00238147972057931	0.00239247248189124	0.00221576999907347	0.00189592842990759	0.0019363950438453	0.00177651795218148	0.00155620371012276	0.000729781669238117	0.000313890383613213
"[5,10)"	0.0291838334716376	0.0460958861961296	0.0456621276591424	0.0261488470609442	0.00285331110750361	0.00283149539769413	0.00303813875841908	0.00323080143441674	0.00274077587339321	0.00252890458886382	0.00262588017413834	0.00246220364684926	0.00185071030562632	0.00106062303594233	0.000458398196305062
"[10,15)"	0.0275044125732712	0.0456621276591424	0.0445965184624811	0.0255461860580513	0.00318190503397204	0.0032696632922832	0.00351554506723272	0.00357826498237157	0.00311309607223898	0.00290692686685081	0.00291901544819037	0.00293042883158656	0.00227244341918867	0.00120360898656156	0.000717066299553491
"[15,20)"	0.0159661437903696	0.0261488470609442	0.0255461860580513	0.0150947997681664	0.00318740027206629	0.00343010874214048	0.00327892005290105	0.00334029917586015	0.00324494374697045	0.00288583712348102	0.00304674113423626	0.00297189936235184	0.00253280605601899	0.00169440761856136	0.00112709954679691
"[20,25)"	0.00231444815557182	0.00285331110750361	0.00318190503397204	0.00318740027206629	0.00324216991089382	0.0033657731781437	0.00321474654957927	0.00324673502027423	0.00316119263774176	0.00304776368572171	0.00314116909440055	0.00344014265792261	0.00288139760028186	0.00236913859649211	0.00196430057307683
"[25,30)"	0.00224052008935258	0.00283149539769413	0.0032696632922832	0.00343010874214048	0.0033657731781437	0.00354555679789171	0.00338872632136407	0.00339054282203025	0.00328224581042275	0.00306397969833161	0.00322998191611339	0.00348079083449078	0.00313352982125909	0.00249348116884276	0.00200876158166504
"[30,35)"	0.00238147972057931	0.00303813875841908	0.00351554506723272	0.00327892005290105	0.00321474654957927	0.00338872632136407	0.0031345600196695	0.00308894646623552	0.00285848918043954	0.00286080158058168	0.00313545575631421	0.00322230152040382	0.00263922971649953	0.00216719040349042	0.00164105003266903
"[35,40)"	0.00239247248189124	0.00323080143441674	0.00357826498237157	0.00334029917586015	0.00324673502027423	0.00339054282203025	0.00308894646623552	0.00314441871739671	0.00295740627508564	0.00283278050649928	0.00299544153203418	0.00313336571978863	0.00258752615612278	0.00221060054798088	0.00175594660278756
"[40,45)"	0.00221576999907347	0.00274077587339321	0.00311309607223898	0.00324494374697045	0.00316119263774176	0.00328224581042275	0.00285848918043954	0.00295740627508564	0.00292165986673218	0.00281540444959652	0.0029776471058013	0.00299731822420608	0.00244017270669502	0.00221580419744161	0.00182305535465497
"[45,50)"	0.00189592842990759	0.00252890458886382	0.00290692686685081	0.00288583712348102	0.0030477636857217	0.00306397969833161	0.00286080158058168	0.00283278050649928	0.00281540444959652	0.00260529777722671	0.00285119566594206	0.00294326269505616	0.00249430914952337	0.00211189675907606	0.00165892210160296
"[50,55)"	0.0019363950438453	0.00262588017413834	0.00291901544819037	0.00304674113423626	0.00314116909440055	0.00322998191611339	0.00313545575631421	0.00299544153203418	0.0029776471058013	0.00285119566594206	0.00305956750826879	0.0031826204956685	0.00265371014132283	0.00227001173464013	0.00182605802016118
"[55,60)"	0.00177651795218148	0.00246220364684926	0.00293042883158656	0.00297189936235184	0.00344014265792261	0.00348079083449078	0.00322230152040382	0.00313336571978863	0.00299731822420609	0.00294326269505616	0.0031826204956685	0.0033022086601424	0.00256504161641421	0.0023843989735115	0.0017963364387865
"[60,65)"	0.00155620371012276	0.00185071030562632	0.00227244341918867	0.00253280605601899	0.00288139760028186	0.00313352982125909	0.00263922971649953	0.00258752615612278	0.00244017270669502	0.00249430914952337	0.00265371014132283	0.00256504161641421	0.00198869254312883	0.00224069637308722	0.00164450992078602
"[65,70)"	0.000729781669238117	0.00106062303594233	0.00120360898656156	0.00169440761856136	0.00236913859649211	0.00249348116884276	0.00216719040349042	0.00221060054798088	0.00221580419744161	0.00211189675907606	0.00227001173464013	0.0023843989735115	0.00224069637308722	0.00238120674214218	0.00207695797484494
"70+"	0.000313890383613213	0.000458398196305062	0.000717066299553491	0.00112709954679691	0.00196430057307683	0.00200876158166504	0.00164105003266903	0.00175594660278756	0.00182305535465497	0.00165892210160296	0.00182605802016118	0.0017963364387865	0.00164450992078602	0.00207695797484494	0.0019618720066283
