"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0132189028432145	0.00806903915266626	0.00450024771490653	0.00178323623544144	0.00329945007672424	0.00732018445628991	0.0130817852677296	0.016080643950954	0.00987625970233636	0.00324323086004546	0.0013779306210433	0.00156999834826029	0.00153311493977687	0.0015285859954473	0.000590470782779106
"[5,10)"	0.00806903915266626	0.0130060932333106	0.0106165206651188	0.00455775557132212	0.00179623711847413	0.00296273570579302	0.00661298526341455	0.0122797810117827	0.0127803935586307	0.00915019049629467	0.00434722798139341	0.00173210428925942	0.00150306972016997	0.00113758315784196	0.000720489184785614
"[10,15)"	0.00450024771490653	0.0106165206651188	0.0122917609164325	0.00897715131361235	0.00311954838955401	0.00236954467215747	0.00426220405014293	0.00866056887381744	0.0112465193765622	0.0120038395724526	0.00771998801632441	0.00376695452743777	0.00229311164881327	0.00110729856959422	0.000772849419797211
"[15,20)"	0.00178323623544144	0.00455775557132212	0.00897715131361235	0.00946970956582681	0.0058495381462199	0.00381155275683082	0.0027516468378785	0.00365054041558261	0.00669270976002071	0.00922291874443449	0.00802913816260479	0.00524608376320807	0.00292451056875256	0.00116582346442124	0.000630487072201983
"[20,25)"	0.00329945007672424	0.00179623711847413	0.00311954838955401	0.0058495381462199	0.0100883558651537	0.00813354462653959	0.00381705415685768	0.00128325691935022	0.00218231265162866	0.00337525786426888	0.0049959642755296	0.0052229897700986	0.00325353177498249	0.00144928376840654	0.000561218524951161
"[25,30)"	0.00732018445628991	0.00296273570579302	0.00236954467215747	0.00381155275683082	0.00813354462653959	0.00677632964097631	0.00670856498231382	0.00400482987222545	0.00136634186952104	0.0026205191859419	0.00342165030003352	0.00374609940049587	0.00364518480726143	0.00176578543406293	0.000674803846006639
"[30,35)"	0.0130817852677296	0.00661298526341455	0.00426220405014293	0.0027516468378785	0.00381705415685768	0.00670856498231383	0.00671875710212176	0.00678547152043995	0.00378251883454763	0.00108803052391912	0.00181918587350369	0.0024626931713448	0.00243502070721879	0.00238053975026046	0.000990890225065919
"[35,40)"	0.016080643950954	0.0122797810117827	0.00866056887381744	0.00365054041558261	0.00128325691935022	0.00400482987222545	0.00678547152043995	0.00668958819773939	0.00575166670500541	0.00340022964469968	0.00101924961941845	0.00168503228136512	0.0021509123585476	0.00227308655404088	0.00144877440196591
"[40,45)"	0.00987625970233636	0.0127803935586307	0.0112465193765622	0.00669270976002071	0.00218231265162866	0.00136634186952104	0.00378251883454763	0.00575166670500541	0.0054027444452065	0.00545085839175764	0.00337455763093917	0.00130156242306412	0.00181596212729367	0.00171374668728744	0.00176446775957558
"[45,50)"	0.00324323086004546	0.00915019049629467	0.0120038395724526	0.00922291874443449	0.00337525786426888	0.0026205191859419	0.00108803052391912	0.00340022964469968	0.00545085839175763	0.0055315461468098	0.00551813619159721	0.00352802972838217	0.00144962601345467	0.00146272191003846	0.00174629579940366
"[50,55)"	0.0013779306210433	0.00434722798139341	0.00771998801632441	0.00802913816260479	0.0049959642755296	0.00342165030003352	0.00181918587350369	0.00101924961941845	0.00337455763093917	0.00551813619159721	0.00578260750656102	0.00625434564085451	0.00400757790508626	0.00137202296789387	0.00174974597992197
"[55,60)"	0.00156999834826029	0.00173210428925942	0.00376695452743777	0.00524608376320807	0.0052229897700986	0.00374609940049587	0.0024626931713448	0.00168503228136512	0.00130156242306412	0.00352802972838217	0.00625434564085451	0.00695609942338813	0.00714277122231239	0.0044649645820708	0.00186914937254987
"[60,65)"	0.00153311493977687	0.00150306972016997	0.00229311164881327	0.00292451056875256	0.00325353177498249	0.00364518480726143	0.00243502070721879	0.0021509123585476	0.00181596212729367	0.00144962601345467	0.00400757790508626	0.00714277122231239	0.00756876299043571	0.00943782166267816	0.00247482567725201
"[65,70)"	0.0015285859954473	0.00113758315784196	0.00110729856959422	0.00116582346442124	0.00144928376840654	0.00176578543406293	0.00238053975026046	0.00227308655404088	0.00171374668728744	0.00146272191003846	0.00137202296789387	0.0044649645820708	0.00943782166267816	0.0114114818049844	0.00410054631203659
"70+"	0.000590470782779106	0.000720489184785614	0.000772849419797211	0.000630487072201983	0.00056121852495116	0.000674803846006639	0.000990890225065919	0.00144877440196591	0.00176446775957558	0.00174629579940366	0.00174974597992197	0.00186914937254987	0.00247482567725201	0.00410054631203659	0.0110332360410929
