"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0107939370745266	0.00839642076191819	0.00495899626161477	0.00190470520809075	0.00339384959351565	0.00731459416061086	0.0136685000453215	0.0142987819143848	0.0086503076678419	0.00367083126627593	0.00136232441956883	0.0015666574429264	0.00118018785098811	0.00112865127884108	0.000336530889904726
"[5,10)"	0.00839642076191819	0.0121228150266282	0.00985443161990532	0.00426913988724483	0.00183066294548326	0.00329683223415372	0.0076840252390005	0.0126907530747481	0.012572468603802	0.00887403519337088	0.0040975376382135	0.00154103085567937	0.00148146677613908	0.000872428695563444	0.000477029195655324
"[10,15)"	0.00495899626161477	0.00985443161990532	0.0117460291025937	0.00838759421604512	0.00316573427960504	0.00239987472776827	0.00481427975277514	0.00877556672105568	0.0117941407900852	0.0124070941572516	0.00756663751498108	0.00379403305658571	0.00244793874724326	0.000988204314857599	0.000632533608641553
"[15,20)"	0.00190470520809075	0.00426913988724483	0.00838759421604512	0.0084104860410903	0.00576785324907736	0.00367512190875329	0.00309004742775467	0.00372014119680186	0.00654229057305072	0.00961860973986975	0.00827369096203025	0.00597670083664058	0.00306524071202486	0.00112367434098591	0.000516688968989605
"[20,25)"	0.00339384959351565	0.00183066294548326	0.00316573427960504	0.00576785324907736	0.0105305082724466	0.00843833750917956	0.00382908469765793	0.00121753836962415	0.00200851169697	0.00353829720136091	0.00559689277747134	0.00536972648537516	0.00329995234270217	0.00137244735569522	0.000507942660747466
"[25,30)"	0.00731459416061086	0.00329683223415372	0.00239987472776827	0.00367512190875329	0.00843833750917956	0.0074121631237816	0.00716577181004264	0.00419672395546933	0.00124868911244298	0.00289075204979589	0.00395165230516625	0.00373867177897981	0.00340016344150088	0.00163349131353429	0.000716566610256991
"[30,35)"	0.0136685000453215	0.0076840252390005	0.00481427975277514	0.00309004742775467	0.00382908469765793	0.00716577181004264	0.0068467632635915	0.0068382914943159	0.00373000114010033	0.000952709847233226	0.00183917795065735	0.0025362038227911	0.00233573587435037	0.00202415024350839	0.000963929904373875
"[35,40)"	0.0142987819143848	0.0126907530747481	0.00877556672105568	0.00372014119680186	0.00121753836962415	0.00419672395546933	0.0068382914943159	0.00704948968633483	0.00569930543253576	0.00372595776418099	0.00103724043035374	0.00163797801291714	0.00207838466386014	0.00198346253298176	0.00128078579657874
"[40,45)"	0.0086503076678419	0.012572468603802	0.0117941407900852	0.00654229057305072	0.00200851169697	0.00124868911244298	0.00373000114010033	0.00569930543253576	0.00597031446467168	0.00558977672860321	0.00351011852985499	0.00131624206745331	0.00175121170589399	0.00146131068586514	0.00155817817207159
"[45,50)"	0.00367083126627593	0.00887403519337088	0.0124070941572516	0.00961860973986975	0.00353829720136091	0.00289075204979589	0.000952709847233225	0.00372595776418099	0.00558977672860321	0.00558305108249296	0.00565832057501239	0.00353539917673255	0.00135322255333902	0.00125761850101781	0.00155388513190151
"[50,55)"	0.00136232441956883	0.0040975376382135	0.00756663751498108	0.00827369096203025	0.00559689277747134	0.00395165230516625	0.00183917795065735	0.00103724043035374	0.00351011852985499	0.00565832057501239	0.00611807892760087	0.00637562894201589	0.00399625972459673	0.00109182691584911	0.00165834190549372
"[55,60)"	0.0015666574429264	0.00154103085567937	0.00379403305658571	0.00597670083664058	0.00536972648537516	0.00373867177897981	0.0025362038227911	0.00163797801291714	0.00131624206745331	0.00353539917673255	0.00637562894201589	0.00678570815727187	0.00735342732839919	0.00456186816382131	0.00178308054463903
"[60,65)"	0.00118018785098811	0.00148146677613908	0.00244793874724326	0.00306524071202486	0.00329995234270217	0.00340016344150088	0.00233573587435037	0.00207838466386014	0.00175121170589399	0.00135322255333902	0.00399625972459674	0.00735342732839919	0.00784336981732127	0.00999187867960719	0.00234787798952279
"[65,70)"	0.00112865127884108	0.000872428695563444	0.000988204314857599	0.00112367434098591	0.00137244735569522	0.00163349131353429	0.00202415024350839	0.00198346253298176	0.00146131068586514	0.00125761850101781	0.00109182691584911	0.00456186816382131	0.00999187867960719	0.0123667922918719	0.004135215765998
"70+"	0.000336530889904726	0.000477029195655324	0.000632533608641553	0.000516688968989605	0.000507942660747466	0.000716566610256991	0.000963929904373875	0.00128078579657874	0.00155817817207159	0.00155388513190151	0.00165834190549372	0.00178308054463903	0.00234787798952279	0.004135215765998	0.0113363122757019
