"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0144698749095965	0.00832685173673426	0.00419414436922334	0.00171332878209784	0.00295436598248467	0.00627359084559992	0.0126836856677987	0.0181343521388219	0.0120269262243046	0.00293409714171687	0.00134022175952592	0.00162050398625605	0.000934778089727053	0.0010751522100865	0.000839303094482025
"[5,10)"	0.00832685173673425	0.012994378444721	0.0102312825513231	0.00436025796944428	0.00163059860514179	0.00210240322100835	0.00590511752442855	0.0119114346252452	0.013838864535111	0.0106669669884966	0.00495480926793103	0.0019448632267331	0.00155380332519177	0.000997905989155976	0.000671215023332524
"[10,15)"	0.00419414436922334	0.0102312825513231	0.0121180850541426	0.00848794917587107	0.00294514985028888	0.00201833415312885	0.00389260638739908	0.0086338043035628	0.0120766169290936	0.0120435839805669	0.00778707207156469	0.00374701071472688	0.00227998618155579	0.00108983613574695	0.000741094350926094
"[15,20)"	0.00171332878209784	0.00436025796944428	0.00848794917587107	0.00945008614455115	0.00572028882806949	0.00401113917011678	0.00245544528188289	0.00357688149885462	0.00655286712992622	0.00903314848594507	0.00810047724252804	0.00463424434544209	0.00248448554761319	0.00124568541771667	0.000435809711410201
"[20,25)"	0.00295436598248467	0.00163059860514179	0.00294514985028888	0.00572028882806949	0.0108216987128688	0.00795244739337134	0.00354243148399865	0.00126322049786027	0.00203224533739332	0.00330849309162352	0.00458049222222361	0.00489310637245819	0.00307562849143156	0.00112950750382139	0.000448634446583746
"[25,30)"	0.00627359084559992	0.00210240322100835	0.00201833415312885	0.00401113917011678	0.00795244739337134	0.00537900662158872	0.00650787187374833	0.00398008949436888	0.00127703701832631	0.00248495354322535	0.00308203959167677	0.00341125161865738	0.00345984963847331	0.00164641583583301	0.00046745200431153
"[30,35)"	0.0126836856677987	0.00590511752442855	0.00389260638739908	0.00245544528188289	0.00354243148399865	0.00650787187374833	0.00656289454902443	0.00763224330663051	0.00432735566732208	0.0011549169787123	0.00157459946234876	0.00184373890253058	0.00240311461524537	0.00284364611314522	0.00109408413401445
"[35,40)"	0.0181343521388219	0.0119114346252452	0.0086338043035628	0.00357688149885462	0.00126322049786027	0.00398008949436888	0.00763224330663051	0.00693786413524591	0.00599959093792582	0.00319760554815978	0.000907042622755373	0.00148148920179109	0.00188271011873799	0.00227841356347001	0.00156581848761925
"[40,45)"	0.0120269262243046	0.013838864535111	0.0120766169290936	0.00655286712992622	0.00203224533739332	0.00127703701832631	0.00432735566732208	0.00599959093792582	0.00538764813711598	0.00538131533553057	0.00301685269075109	0.00116397696054325	0.00177946294316386	0.00181902045946132	0.00171986733686199
"[45,50)"	0.00293409714171687	0.0106669669884966	0.0120435839805669	0.00903314848594507	0.00330849309162352	0.00248495354322535	0.0011549169787123	0.00319760554815978	0.00538131533553057	0.00534452712640213	0.00583697223665781	0.00388870640292036	0.00137455935838561	0.00163059204881559	0.00162012247940519
"[50,55)"	0.00134022175952592	0.00495480926793103	0.00778707207156469	0.00810047724252804	0.00458049222222361	0.00308203959167677	0.00157459946234876	0.000907042622755373	0.00301685269075109	0.00583697223665781	0.00644304980094857	0.00676965979110293	0.00407122228577788	0.00140499160807595	0.00185030563446424
"[55,60)"	0.00162050398625605	0.0019448632267331	0.00374701071472688	0.00463424434544209	0.00489310637245819	0.00341125161865738	0.00184373890253058	0.00148148920179109	0.00116397696054325	0.00388870640292036	0.00676965979110293	0.00697926350975185	0.00733369642252831	0.00452638192280892	0.00180889972201569
"[60,65)"	0.000934778089727053	0.00155380332519177	0.00227998618155579	0.00248448554761319	0.00307562849143156	0.00345984963847331	0.00240311461524537	0.00188271011873799	0.00177946294316386	0.00137455935838561	0.00407122228577788	0.00733369642252831	0.00814381101128903	0.00988771260159888	0.00250767150518618
"[65,70)"	0.0010751522100865	0.000997905989155976	0.00108983613574695	0.00124568541771667	0.00112950750382139	0.00164641583583301	0.00284364611314521	0.00227841356347001	0.00181902045946132	0.00163059204881559	0.00140499160807595	0.00452638192280892	0.00988771260159888	0.0128804671583758	0.00423215273104807
"70+"	0.000839303094482025	0.000671215023332524	0.000741094350926094	0.000435809711410201	0.000448634446583746	0.00046745200431153	0.00109408413401445	0.00156581848761925	0.00171986733686199	0.00162012247940519	0.00185030563446424	0.00180889972201569	0.00250767150518618	0.00423215273104807	0.0117513019399006
