"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0833257326414509	0.00744454643276326	0.00137166385304764	0.000656442281169604	0.00443504652394666	0.00632507016500951	0.00832864759348779	0.00770963737788542	0.00629934386382267	0.00280738985315227	0.00287855101066598	0.00123713491196274	0.00105638116271266	0.000469189055370696	0.000145636024523893
"[5,10)"	0.00744454643276326	0.146060522208745	0.0728879320619178	0.00157774428715401	0.00161098553258017	0.00493272348598751	0.00594953155160749	0.00964013029006105	0.00898315256063532	0.00544308366398621	0.00469447370441636	0.00238117417637173	0.00202484234889048	0.000588047132334386	0.000216553193532596
"[10,15)"	0.00137166385304764	0.0728879320619178	0.0940198464752073	0.056370847359135	0.00123215787557701	0.00288331483198282	0.00316820067426931	0.00600438220367373	0.00620966340135591	0.00432604795948002	0.0038452177669725	0.0014032616162616	0.000900711073498479	0.000447502640970204	0.000120025119177749
"[15,20)"	0.000656442281169604	0.00157774428715401	0.056370847359135	0.0491863992389335	0.00518737518819458	0.00496940383897344	0.00130934681759289	0.00208570860379672	0.00229928011971848	0.00247347039597667	0.00204076695562806	0.000959820543230602	0.000500593055052638	0.000428481148003288	9.16634077688363e-05
"[20,25)"	0.00443504652394666	0.00161098553258017	0.00123215787557701	0.00518737518819458	0.00623248125297159	0.00419814783288705	0.00146445658984285	0.000939010560595258	0.000616371604461467	0.000602477835973339	0.000491860996777504	0.000356315690973505	0.00037303608244667	0.000214232232656748	5.38233649646892e-05
"[25,30)"	0.00632507016500951	0.00493272348598751	0.00288331483198282	0.00496940383897344	0.00419814783288705	0.0015832833582274	0.00183023590786811	0.00130463337389632	0.000829750675975008	0.000760976013414837	0.000500599681562424	0.000477617644691255	0.000414761535158973	0.000110155681229378	4.75298414055825e-05
"[30,35)"	0.00832864759348779	0.00594953155160749	0.00316820067426931	0.00130934681759289	0.00146445658984285	0.00183023590786811	0.00170340607657095	0.0014478249649707	0.000914433523271381	0.000433596861348063	0.000306564069566384	9.49956092115104e-05	0.000156226379867982	0.000106726738519147	3.25965057122253e-05
"[35,40)"	0.00770963737788542	0.00964013029006105	0.00600438220367373	0.00208570860379672	0.000939010560595258	0.00130463337389632	0.0014478249649707	0.00151775906382317	0.00133326768607433	0.000710041862491687	0.000439443208693677	0.000289499266541647	0.000109158004314217	0.000112194474440673	3.49650179703809e-05
"[40,45)"	0.00629934386382267	0.00898315256063532	0.00620966340135591	0.00229928011971848	0.000616371604461467	0.000829750675975008	0.000914433523271381	0.00133326768607433	0.00103743696785822	0.000718743203852989	0.000442426315942397	0.000274897870719947	0.000222569378923959	9.64887733273797e-05	8.78199432190012e-05
"[45,50)"	0.00280738985315227	0.00544308366398621	0.00432604795948002	0.00247347039597667	0.000602477835973339	0.000760976013414837	0.000433596861348063	0.000710041862491687	0.000718743203852989	0.000421115270168236	0.000396473180759587	0.000202876556771332	8.67581076983392e-05	8.00342732208433e-05	2.43472993708307e-05
"[50,55)"	0.00287855101066598	0.00469447370441636	0.0038452177669725	0.00204076695562806	0.000491860996777504	0.000500599681562424	0.000306564069566384	0.000439443208693677	0.000442426315942397	0.000396473180759587	0.000346953843221095	0.000227829838156444	0.000158074194977592	4.84302301355406e-05	4.62699470470421e-05
"[55,60)"	0.00123713491196274	0.00238117417637173	0.0014032616162616	0.000959820543230602	0.000356315690973505	0.000477617644691255	9.49956092115104e-05	0.000289499266541647	0.000274897870719947	0.000202876556771332	0.000227829838156444	0.000175879547239352	0.000191829314050384	7.55397099867995e-05	2.57801768706259e-05
"[60,65)"	0.00105638116271266	0.00202484234889048	0.000900711073498479	0.000500593055052638	0.00037303608244667	0.000414761535158973	0.000156226379867982	0.000109158004314217	0.000222569378923959	8.67581076983392e-05	0.000158074194977592	0.000191829314050384	5.08389068641608e-05	0.000102089588257856	7.32852616137015e-06
"[65,70)"	0.000469189055370696	0.000588047132334386	0.000447502640970204	0.000428481148003288	0.000214232232656748	0.000110155681229378	0.000106726738519147	0.000112194474440673	9.64887733273797e-05	8.00342732208433e-05	4.84302301355406e-05	7.55397099867995e-05	0.000102089588257856	0.000164532499373624	5.26112068653043e-05
"70+"	0.000145636024523893	0.000216553193532596	0.000120025119177749	9.16634077688363e-05	5.38233649646892e-05	4.75298414055825e-05	3.25965057122253e-05	3.49650179703809e-05	8.78199432190012e-05	2.43472993708307e-05	4.62699470470421e-05	2.57801768706259e-05	7.32852616137015e-06	5.26112068653043e-05	0.00011572934659193
