"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.000967344310673056	0.000496775517813074	0.000259691700981535	0.000394790867551624	0.000891152030518738	0.00213782325009966	0.0017136851525746	0.000993306461455468	0.00104766538381963	0.000684584290991571	0.00036523580472871	0.000299437966788973	0.000211709653505136	0.000262118045091761	1.82826058967357e-05
"[5,10)"	0.000496775517813074	0.000778328815657932	0.000644288603433178	0.00119105629386419	0.00163861748234449	0.0014225358562581	0.00184612678402456	0.0014339887852519	0.00180051597900613	0.00105391700821381	0.00112525549064557	0.00121766153524983	0.00087758827600587	0.000123236823504878	0.000160619133874566
"[10,15)"	0.000259691700981535	0.000644288603433178	0.00065628968321486	0.00113334448384116	0.00155954768498	0.00128884409460609	0.00166464606942537	0.00272529389493404	0.00278548415116835	0.00253616028255182	0.00122504966707522	0.00112242477440642	0.000626579287243794	0.00027283552429437	6.93299027873302e-05
"[15,20)"	0.000394790867551624	0.00119105629386419	0.00113334448384116	0.00282275530719553	0.00555560848175062	0.00544363255076618	0.00399471483666337	0.00324827324230441	0.00359039343574557	0.00291641372136794	0.00254162438658246	0.00228169988351464	0.00167147714965591	0.00116506841336464	0.00047282758543748
"[20,25)"	0.000891152030518738	0.00163861748234449	0.00155954768498	0.00555560848175062	0.0138700358481901	0.0128414056766276	0.010544351760962	0.00870882471415076	0.00758107190757005	0.00666654878480797	0.00704016036045035	0.00583337312287596	0.00366817224417722	0.00226176607527289	0.000540210458782667
"[25,30)"	0.00213782325009966	0.0014225358562581	0.00128884409460609	0.00544363255076618	0.0128414056766276	0.0108454279551096	0.0127878640094223	0.0102819030500541	0.00786990183476476	0.00708625887030243	0.00686422823791592	0.00703166841489757	0.00390022819828764	0.00292985323616319	0.000720271129117518
"[30,35)"	0.0017136851525746	0.00184612678402456	0.00166464606942537	0.00399471483666337	0.010544351760962	0.0127878640094223	0.0131441519355472	0.0128107629192352	0.0102897398104843	0.00898346751067924	0.00865677118891277	0.00757649137402163	0.00503389869254604	0.00284197255572296	0.000788161790902209
"[35,40)"	0.000993306461455468	0.0014339887852519	0.00272529389493404	0.00324827324230441	0.00870882471415076	0.0102819030500541	0.0128107629192352	0.0139048858451376	0.0125668518482119	0.0111244155600494	0.00994817209621233	0.00886101812944452	0.00555866361477873	0.00362428711847549	0.000813945554779477
"[40,45)"	0.00104766538381963	0.00180051597900613	0.00278548415116835	0.00359039343574557	0.00758107190757005	0.00786990183476476	0.0102897398104843	0.0125668518482119	0.0121898601890108	0.0132539018568879	0.0115623263460423	0.00944589417691884	0.00607910539988137	0.00339469341361377	0.00100417601507454
"[45,50)"	0.000684584290991571	0.00105391700821381	0.00253616028255182	0.00291641372136794	0.00666654878480797	0.00708625887030243	0.00898346751067924	0.0111244155600494	0.0132539018568879	0.0138060230835976	0.0138674249671246	0.0109638452526308	0.00686124341736812	0.00374290466893664	0.00131756795888971
"[50,55)"	0.00036523580472871	0.00112525549064557	0.00122504966707522	0.00254162438658246	0.00704016036045035	0.00686422823791592	0.00865677118891277	0.00994817209621233	0.0115623263460423	0.0138674249671246	0.0132697900594678	0.0127311876550506	0.00829324247015559	0.00386276478147625	0.00140937561112821
"[55,60)"	0.000299437966788973	0.00121766153524983	0.00112242477440642	0.00228169988351464	0.00583337312287596	0.00703166841489757	0.00757649137402163	0.00886101812944452	0.00944589417691884	0.0109638452526308	0.0127311876550506	0.0126126638905207	0.00973097352692712	0.0050626213691727	0.00126818199350997
"[60,65)"	0.000211709653505136	0.00087758827600587	0.000626579287243794	0.00167147714965591	0.00366817224417722	0.00390022819828764	0.00503389869254604	0.00555866361477873	0.00607910539988137	0.00686124341736812	0.00829324247015559	0.00973097352692712	0.00665960310601069	0.00521190383986126	0.00118310897483256
"[65,70)"	0.000262118045091761	0.000123236823504878	0.00027283552429437	0.00116506841336464	0.00226176607527289	0.00292985323616319	0.00284197255572296	0.00362428711847549	0.00339469341361377	0.00374290466893664	0.00386276478147625	0.0050626213691727	0.00521190383986126	0.00320597873423535	0.00122674512729587
"70+"	1.82826058967357e-05	0.000160619133874566	6.93299027873302e-05	0.00047282758543748	0.000540210458782667	0.000720271129117518	0.000788161790902209	0.000813945554779477	0.00100417601507454	0.00131756795888971	0.00140937561112821	0.00126818199350997	0.00118310897483256	0.00122674512729587	0.000641239312832913
