"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0168048377032681	0.0149083859651928	0.0124367062581711	0.00690813406406458	0.00268850024645338	0.00454347827494382	0.00707123999849522	0.00830040933044832	0.00556754586737096	0.00239268525468968	0.00163539652771162	0.00177739758681126	0.00170847310273852	0.00138117123427199	0.00062869056154243
"[5,10)"	0.0149083859651928	0.0308911552660742	0.0257230346812845	0.0118734979097512	0.00210118390482817	0.00272903923005486	0.00442416151296894	0.00715142945266342	0.00711616273740579	0.0052337757809889	0.0032263297313839	0.00198445336237928	0.00166681132129426	0.00120224954460345	0.000746842292583218
"[10,15)"	0.0124367062581711	0.0257230346812845	0.0273999387882474	0.0169730042929804	0.00274170627855634	0.00249035764709602	0.00343018372859429	0.00553643782279107	0.00642541372465108	0.00658696129202681	0.00474698488916391	0.00294423531007346	0.0020319031367429	0.00114580069541122	0.000839563973387225
"[15,20)"	0.00690813406406458	0.0118734979097512	0.0169730042929804	0.0132409725064292	0.0046545176194166	0.00375675455956068	0.00291844972692155	0.00326876815112196	0.0044451160607066	0.00534685557473647	0.00495506687398347	0.00361303573175847	0.0024297839229867	0.00138201397660198	0.000918722275522598
"[20,25)"	0.00268850024645338	0.00210118390482817	0.00274170627855634	0.0046545176194166	0.00756311248721813	0.0064816545305473	0.00404511425154428	0.00260909471237574	0.00290339990520286	0.00330010138097612	0.00408836048649058	0.00418673252993279	0.00309945502603538	0.00200943826574936	0.0013579211114678
"[25,30)"	0.00454347827494382	0.00272903923005486	0.00249035764709602	0.00375675455956068	0.0064816545305473	0.00551356711641799	0.00558833965830887	0.00413757911963755	0.0027050048121771	0.0030868732592579	0.00350160356909722	0.00370455534675139	0.00348310192605714	0.00233302522401028	0.00149360052630128
"[30,35)"	0.00707123999849522	0.00442416151296894	0.00343018372859429	0.00291844972692155	0.00404511425154428	0.00558833965830887	0.00561088516525656	0.00553107490773574	0.00390481311589548	0.0024636861585112	0.00296509435214087	0.00326307091347068	0.00298262184511629	0.00262088137790213	0.00154582401916175
"[35,40)"	0.00830040933044831	0.00715142945266342	0.00553643782279107	0.00326876815112196	0.00260909471237574	0.00413757911963755	0.00553107490773574	0.00551754205504789	0.00495635380710073	0.00372140968600743	0.00260387569926761	0.00292521153992028	0.00292322354188826	0.0027096877256636	0.00191838812940275
"[40,45)"	0.00556754586737096	0.00711616273740579	0.00642541372465108	0.0044451160607066	0.00290339990520286	0.0027050048121771	0.00390481311589548	0.00495635380710073	0.00481312267309902	0.00487325355076938	0.00382128540121716	0.00271485229688804	0.00274248277040547	0.00246920457833237	0.00221910313570566
"[45,50)"	0.00239268525468968	0.0052337757809889	0.00658696129202681	0.00534685557473647	0.00330010138097612	0.0030868732592579	0.0024636861585112	0.00372140968600743	0.00487325355076938	0.00468285088641681	0.00488932727834744	0.00376142622159211	0.0025154799524182	0.00219213840534979	0.00214356031716233
"[50,55)"	0.00163539652771162	0.0032263297313839	0.00474698488916391	0.00495506687398347	0.00408836048649058	0.00350160356909722	0.00296509435214087	0.00260387569926761	0.00382128540121716	0.00488932727834744	0.00515353363820333	0.00532449751855673	0.00394880103354954	0.00221865252522976	0.00234794374771269
"[55,60)"	0.00177739758681126	0.00198445336237928	0.00294423531007346	0.00361303573175847	0.00418673252993279	0.00370455534675139	0.00326307091347068	0.00292521153992028	0.00271485229688804	0.00376142622159211	0.00532449751855673	0.00566227566550819	0.0054491001820104	0.00377370030833523	0.00228084280706146
"[60,65)"	0.00170847310273852	0.00166681132129426	0.0020319031367429	0.0024297839229867	0.00309945502603538	0.00348310192605714	0.00298262184511629	0.00292322354188826	0.00274248277040547	0.0025154799524182	0.00394880103354954	0.0054491001820104	0.00537203467710782	0.00626598289431403	0.00255668317179579
"[65,70)"	0.00138117123427199	0.00120224954460345	0.00114580069541122	0.00138201397660198	0.00200943826574936	0.00233302522401028	0.00262088137790212	0.00270968772566361	0.00246920457833237	0.00219213840534979	0.00221865252522976	0.00377370030833523	0.00626598289431403	0.00711448382241374	0.00352023153869354
"70+"	0.00062869056154243	0.000746842292583218	0.000839563973387225	0.000918722275522598	0.0013579211114678	0.00149360052630128	0.00154582401916175	0.00191838812940276	0.00221910313570566	0.00214356031716233	0.00234794374771269	0.00228084280706146	0.00255668317179579	0.00352023153869354	0.00688459735641114
