"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.01499996164387	0.0116934448674352	0.00935175018594564	0.00520219394051277	0.00283580551564244	0.00527268495813649	0.0089461088364269	0.00931067438641075	0.00586240452488587	0.00294758769813019	0.00172593684620842	0.00192167827546255	0.00181452833095969	0.00124394279796647	0.00050744932832252
"[5,10)"	0.0116934448674352	0.0210910289557714	0.016657135361245	0.00756160432710669	0.00192388473733559	0.00274304589845885	0.00549133722173105	0.00842862273555476	0.00828179743385355	0.00592349218515911	0.00333730976080013	0.00183256586082864	0.00156971149266824	0.000951797736179456	0.000607734324557932
"[10,15)"	0.00935175018594564	0.016657135361245	0.0176234366582734	0.0113547622967315	0.00259182734316004	0.00215338094149982	0.00382464982613941	0.00609762753093414	0.00759693778117957	0.00785393752092353	0.00527757065012007	0.00306039359678999	0.00193519417108814	0.000997855534157886	0.000689899804873293
"[15,20)"	0.00520219394051277	0.00756160432710669	0.0113547622967315	0.0102315086968074	0.00466024760347865	0.00342850328366036	0.00301401614937857	0.00331872340043316	0.00474847248537807	0.00637044256572698	0.00568560072387188	0.00427103750505901	0.00256101266292699	0.00127381007751218	0.000823831063556871
"[20,25)"	0.00283580551564244	0.00192388473733559	0.00259182734316004	0.00466024760347865	0.00839712752778161	0.00717797669334929	0.00421915123380822	0.00238672401078507	0.00289168543219525	0.00381512676987466	0.00503464873603158	0.0048778307555771	0.00328724210583334	0.00191451316161824	0.00114073041942306
"[25,30)"	0.00527268495813649	0.00274304589845885	0.00215338094149982	0.00342850328366036	0.00717797669334929	0.00640821728171045	0.00626987111855431	0.00426340024482566	0.00242678566942999	0.00338096246201473	0.00417908935482452	0.00416258334700185	0.00340090984491443	0.0023526078353454	0.00143498993405704
"[30,35)"	0.0089461088364269	0.00549133722173105	0.00382464982613941	0.00301401614937857	0.00421915123380822	0.00626987111855431	0.00609068381434744	0.00618363887265136	0.00442642930898153	0.00234124572303636	0.00339728663039477	0.00355756023522544	0.00316640630626805	0.00275511064850093	0.0015314424703411
"[35,40)"	0.00931067438641074	0.00842862273555476	0.00609762753093414	0.00331872340043316	0.00238672401078507	0.00426340024482566	0.00618363887265136	0.00642149553048374	0.00548246606115037	0.00422032547034106	0.00289768120054035	0.00323538397269777	0.00314373202852719	0.00285959375658024	0.00187406618278823
"[40,45)"	0.00586240452488587	0.00828179743385355	0.00759693778117957	0.00474847248537807	0.00289168543219524	0.00242678566942999	0.00442642930898153	0.00548246606115037	0.00572245605542679	0.00554567453430881	0.00440029973034828	0.00308374227474444	0.00284514345881532	0.00247663367463215	0.0021695864415437
"[45,50)"	0.00294758769813019	0.00592349218515911	0.00785393752092353	0.00637044256572698	0.00381512676987466	0.00338096246201473	0.00234124572303636	0.00422032547034106	0.00554567453430881	0.00555133175832712	0.00594860801992452	0.00446461230146002	0.00255974926105586	0.00244068522357311	0.00219410119985134
"[50,55)"	0.00172593684620842	0.00333730976080013	0.00527757065012007	0.00568560072387188	0.00503464873603158	0.00417908935482452	0.00339728663039477	0.00289768120054035	0.00440029973034828	0.00594860801992452	0.00653207350151166	0.00668868874427761	0.00485908474342945	0.00245480791421955	0.00263949886185837
"[55,60)"	0.00192167827546255	0.00183256586082864	0.00306039359678999	0.00427103750505901	0.0048778307555771	0.00416258334700185	0.00355756023522544	0.00323538397269777	0.00308374227474444	0.00446461230146002	0.00668868874427762	0.00690505902940703	0.00661295868877554	0.00455833354402536	0.00252804506700816
"[60,65)"	0.00181452833095969	0.00156971149266824	0.00193519417108814	0.00256101266292699	0.00328724210583334	0.00340090984491443	0.00316640630626805	0.00314373202852719	0.00284514345881532	0.00255974926105586	0.00485908474342945	0.00661295868877554	0.00647505563397566	0.00778357833729512	0.00265651955530531
"[65,70)"	0.00124394279796647	0.000951797736179456	0.000997855534157886	0.00127381007751218	0.00191451316161824	0.0023526078353454	0.00275511064850093	0.00285959375658024	0.00247663367463215	0.00244068522357311	0.00245480791421955	0.00455833354402536	0.00778357833729512	0.00911239559664688	0.00397304844232956
"70+"	0.00050744932832252	0.000607734324557932	0.000689899804873293	0.000823831063556871	0.00114073041942306	0.00143498993405704	0.0015314424703411	0.00187406618278823	0.0021695864415437	0.00219410119985134	0.00263949886185837	0.00252804506700816	0.00265651955530531	0.00397304844232956	0.00822104411010936
