"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0179544434301313	0.0153300564655759	0.0124820906041775	0.00671118251072114	0.00290908178170289	0.00448804076856104	0.00678660780786754	0.00863399554941356	0.0059548941286742	0.00219071149806814	0.00167669638427642	0.0016908935194917	0.00174245224542229	0.00150964994793614	0.000727283152533908
"[5,10)"	0.0153300564655759	0.0314389779479421	0.0262039399842815	0.0121683849022161	0.00224573110627409	0.00279347439103513	0.00406990490809049	0.00689055083604059	0.00715759051784354	0.0052851786615242	0.00329327681119899	0.00199945639166156	0.00180632437969876	0.00129013028453601	0.000845782013484686
"[10,15)"	0.0124820906041775	0.0262039399842815	0.0269136854909832	0.0165545464470538	0.00287389862975569	0.00256693128096857	0.0031358421412813	0.00525980202954172	0.00606134384577712	0.00635438966951902	0.00474695451205263	0.00289751100738833	0.00214522983616066	0.00119192269710549	0.00101210088209606
"[15,20)"	0.00671118251072114	0.0121683849022161	0.0165545464470538	0.0130582857024057	0.00483327791055549	0.00397632952086523	0.00267280495925417	0.00305796453921363	0.00442880769441762	0.00520294402511788	0.0048021879300386	0.00347755784681461	0.0025488450686256	0.00139876648458738	0.00096893423203473
"[20,25)"	0.00290908178170289	0.00224573110627409	0.00287389862975569	0.00483327791055549	0.00751244096552607	0.00641496901219246	0.00403936538412489	0.00267559840587608	0.00290595297889134	0.00327345682637361	0.00392017834746417	0.00409853686296695	0.00314418712247976	0.00205607794603416	0.00145361811337233
"[25,30)"	0.00448804076856104	0.00279347439103513	0.00256693128096857	0.00397632952086523	0.00641496901219246	0.00536478843512294	0.00534880053469978	0.00410227770259803	0.00284212028071145	0.00293880185652172	0.00331720448564911	0.00358943213985409	0.00363053714188676	0.00246760704200689	0.00158359543385871
"[30,35)"	0.00678660780786754	0.00406990490809049	0.0031358421412813	0.00267280495925417	0.00403936538412489	0.00534880053469978	0.00542124253174084	0.00546837813391338	0.00377650127388558	0.00237702328423198	0.00277847784963777	0.00318009086812577	0.00299381154143102	0.00258414200345021	0.00162447666449433
"[35,40)"	0.00863399554941356	0.00689055083604059	0.00525980202954172	0.00305796453921363	0.00267559840587607	0.00410227770259803	0.00546837813391338	0.00550391280942652	0.00501070249596907	0.00354494562107307	0.00241163314097291	0.00281566941824509	0.00286389496078886	0.00277594072451493	0.00200864602070084
"[40,45)"	0.0059548941286742	0.00715759051784354	0.00606134384577712	0.00442880769441762	0.00290595297889134	0.00284212028071145	0.00377650127388558	0.00501070249596907	0.00451456716771987	0.00469625694814509	0.00362528963622453	0.00265972462916919	0.00278314916450177	0.00257732275076602	0.00235257385170851
"[45,50)"	0.00219071149806814	0.0052851786615242	0.00635438966951902	0.00520294402511788	0.00327345682637361	0.00293880185652172	0.00237702328423198	0.00354494562107307	0.00469625694814509	0.00445802308248236	0.00464239530737305	0.00356254038232912	0.00253556012423614	0.00217599113661137	0.00226807181405934
"[50,55)"	0.00167669638427642	0.00329327681119899	0.00474695451205262	0.0048021879300386	0.00392017834746417	0.00331720448564911	0.00277847784963777	0.00241163314097291	0.00362528963622453	0.00464239530737305	0.00468338047140358	0.0050773301359603	0.00392595360433291	0.00232055832349187	0.00246279815556562
"[55,60)"	0.0016908935194917	0.00199945639166156	0.00289751100738833	0.00347755784681461	0.00409853686296695	0.00358943213985409	0.00318009086812577	0.00281566941824509	0.00265972462916919	0.00356254038232912	0.0050773301359603	0.0056883679616967	0.00556823624801469	0.0038935268637101	0.00246789869959389
"[60,65)"	0.00174245224542229	0.00180632437969876	0.00214522983616066	0.0025488450686256	0.00314418712247976	0.00363053714188676	0.00299381154143102	0.00286389496078886	0.00278314916450177	0.00253556012423614	0.00392595360433291	0.00556823624801468	0.00554877592924014	0.00629926670910202	0.0028075661745718
"[65,70)"	0.00150964994793614	0.001290130284536	0.00119192269710549	0.00139876648458738	0.00205607794603416	0.00246760704200689	0.00258414200345021	0.00277594072451493	0.00257732275076602	0.00217599113661137	0.00232055832349187	0.0038935268637101	0.00629926670910202	0.00705829830267062	0.00382317935044139
"70+"	0.000727283152533908	0.000845782013484686	0.00101210088209606	0.00096893423203473	0.00145361811337233	0.00158359543385871	0.00162447666449433	0.00200864602070084	0.00235257385170851	0.00226807181405934	0.00246279815556562	0.00246789869959389	0.0028075661745718	0.00382317935044139	0.00769261702862991
