"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0178986589336627	0.0170208260841641	0.0131818710257051	0.00741759326701886	0.00277786259264454	0.00380844686909563	0.00677859675785804	0.00896457856256325	0.00645629708642414	0.0021854635211242	0.00157739471910457	0.00163058438265424	0.00133931338671656	0.00106009847807486	0.000703940139743602
"[5,10)"	0.0170208260841641	0.036266570170109	0.0297312962009258	0.0129856327044076	0.0021813574855557	0.0026140461968044	0.00414072294649695	0.00679737259626861	0.00732641100174036	0.00544336223209131	0.00330373361482715	0.00174450562751957	0.00166439776502334	0.000987370698045639	0.000699189728314434
"[10,15)"	0.013181871025705	0.0297312962009258	0.0305133062158847	0.0186050877619542	0.00283289157840262	0.00267540262396907	0.00326678098276757	0.00520067952496248	0.00664259489458867	0.00625433413525894	0.00489883944235791	0.00274161949293191	0.00202925137475937	0.000909952205898881	0.000823517894945201
"[15,20)"	0.00741759326701886	0.0129856327044076	0.0186050877619542	0.0139713889445627	0.00503625148802075	0.00404963507780193	0.00302062172854412	0.00327552006378323	0.00416956633881045	0.00496629145144794	0.00488338573368526	0.00322018804792714	0.00218664160718646	0.00119182762721565	0.000766284125213042
"[20,25)"	0.00277786259264454	0.0021813574855557	0.00283289157840262	0.00503625148802075	0.00824159968544394	0.0060485286494522	0.00357065149678273	0.00232757464701456	0.00270298161950415	0.00302051406531072	0.00359900804039953	0.00357201238833784	0.00298976732131826	0.00164375679305542	0.00122718961941333
"[25,30)"	0.00380844686909563	0.0026140461968044	0.00267540262396907	0.00404963507780193	0.0060485286494522	0.00439911788272924	0.00519431350655249	0.00399055962314485	0.00246407202906031	0.00294460599546534	0.003072623923232	0.00316770583022209	0.00308892259385879	0.00213642539351276	0.00149041190562235
"[30,35)"	0.00677859675785804	0.00414072294649695	0.00326678098276757	0.00302062172854412	0.00357065149678273	0.00519431350655249	0.00558865252085486	0.00579384346554874	0.0037545598690175	0.0024358991252313	0.00263943880875718	0.0026769814969922	0.00284099001350215	0.00273005594985544	0.00156682176534173
"[35,40)"	0.00896457856256325	0.00679737259626861	0.00520067952496248	0.00327552006378323	0.00232757464701456	0.00399055962314484	0.00579384346554873	0.00496796849244834	0.00477595899675837	0.00347709840964213	0.00220414128980125	0.00249366138476533	0.00280874200901518	0.00249204537222803	0.00200768439769578
"[40,45)"	0.00645629708642414	0.00732641100174036	0.00664259489458867	0.00416956633881045	0.00270298161950415	0.00246407202906031	0.0037545598690175	0.00477595899675837	0.00470719482909551	0.00462293860637423	0.00325671449266437	0.00234609096113172	0.00245323126320994	0.00263301681521853	0.002296708960537
"[45,50)"	0.0021854635211242	0.00544336223209131	0.00625433413525894	0.00496629145144794	0.00302051406531072	0.00294460599546534	0.0024358991252313	0.00347709840964213	0.00462293860637424	0.00435575102072271	0.00474598698524332	0.00351846787854316	0.00227634583297681	0.00216052760885542	0.00217574471709859
"[50,55)"	0.00157739471910457	0.00330373361482715	0.00489883944235791	0.00488338573368526	0.00359900804039953	0.003072623923232	0.00263943880875718	0.00220414128980125	0.00325671449266437	0.00474598698524332	0.00481030998634688	0.00478275605327949	0.00359981990411889	0.00206599546016279	0.00228434159701348
"[55,60)"	0.00163058438265424	0.00174450562751957	0.00274161949293191	0.00322018804792714	0.00357201238833784	0.00316770583022209	0.0026769814969922	0.00249366138476533	0.00234609096113172	0.00351846787854316	0.00478275605327949	0.00492020302020107	0.00507430190742419	0.00338356122735731	0.00218324766321734
"[60,65)"	0.00133931338671656	0.00166439776502334	0.00202925137475937	0.00218664160718646	0.00298976732131826	0.00308892259385879	0.00284099001350214	0.00280874200901518	0.00245323126320994	0.00227634583297681	0.00359981990411889	0.00507430190742419	0.00540091381294968	0.00636794774439664	0.00274937112401132
"[65,70)"	0.00106009847807486	0.000987370698045639	0.000909952205898881	0.00119182762721565	0.00164375679305542	0.00213642539351276	0.00273005594985544	0.00249204537222803	0.00263301681521853	0.00216052760885542	0.00206599546016279	0.00338356122735731	0.00636794774439664	0.00740360148111897	0.00356269588482444
"70+"	0.000703940139743602	0.000699189728314434	0.000823517894945201	0.000766284125213042	0.00122718961941333	0.00149041190562235	0.00156682176534173	0.00200768439769578	0.002296708960537	0.00217574471709859	0.00228434159701348	0.00218324766321734	0.00274937112401132	0.00356269588482444	0.00723718029103707
