"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0401173699802525	0.0429194473201602	0.0369597643370273	0.0195016664257848	0.00266600361572647	0.00321584798344114	0.00317640157307224	0.00283714889535645	0.00305784211826239	0.00144520213811502	0.00188857718912537	0.00120337017728098	0.00149325580025265	0.000249017224057693	0.000183426363882544
"[5,10)"	0.0429194473201602	0.0937337906745087	0.0773249202003908	0.0352327525572529	0.00259726483771339	0.00323347386643702	0.00286663069465406	0.00434140869457398	0.00352108876338106	0.00265289603301902	0.00282933754391009	0.00208451812879891	0.00238064971180371	0.000454185702230222	0.000439948186747309
"[10,15)"	0.0369597643370273	0.0773249202003908	0.0756891360822232	0.0430805961699524	0.00224482687634154	0.00278158957340396	0.00233579375253108	0.00321701663416803	0.00309007385796248	0.00258304316768489	0.00247743223052326	0.00191910267187497	0.00203377990410485	0.000657124668712756	0.000632303245821463
"[15,20)"	0.0195016664257848	0.0352327525572529	0.0430805961699524	0.0277282650114448	0.00299384179075924	0.00307367623093559	0.0016276494999932	0.00190978599318742	0.00196776643531917	0.00190700380463907	0.00177590539840157	0.00150450631201412	0.00161897952211158	0.00047494024318969	0.000353404047420361
"[20,25)"	0.00266600361572647	0.00259726483771339	0.00224482687634154	0.00299384179075924	0.00278138118421259	0.00258743963361159	0.00116335434897873	0.00118784734045422	0.000958220995889038	0.000891285479898712	0.000789454760242027	0.000939260150803206	0.000936715284820355	0.000421240489900843	0.00044105883317833
"[25,30)"	0.00321584798344114	0.00323347386643702	0.00278158957340396	0.00307367623093559	0.00258743963361159	0.00183352012340982	0.00120957117378159	0.00124416108029316	0.00117688590183435	0.000823845870193207	0.000849509121212078	0.00101223176518342	0.00109755267435719	0.000443765295453441	0.000455099780082577
"[30,35)"	0.00317640157307224	0.00286663069465406	0.00233579375253108	0.0016276494999932	0.00116335434897873	0.00120957117378159	0.00074353156963632	0.000634047514118537	0.000471332799801924	0.000407292348394775	0.000299452499858254	0.000262791752710615	0.000354940467221112	0.000199844107845094	0.000271166046660994
"[35,40)"	0.00283714889535645	0.00434140869457398	0.00321701663416803	0.00190978599318742	0.00118784734045422	0.00124416108029316	0.000634047514118537	0.000596750652378884	0.00062320819600572	0.000475100390765062	0.000303463707639355	0.000327442970851964	0.00030880496814758	0.000302296120968356	0.000318125677878936
"[40,45)"	0.00305784211826239	0.00352108876338106	0.00309007385796248	0.00196776643531917	0.000958220995889038	0.00117688590183435	0.000471332799801924	0.00062320819600572	0.000530890331560063	0.000382113953293292	0.000273354369408023	0.000298315015135482	0.000324622222779106	0.000200702123426402	0.000242433392277599
"[45,50)"	0.00144520213811502	0.00265289603301902	0.00258304316768489	0.00190700380463907	0.000891285479898712	0.000823845870193207	0.000407292348394775	0.000475100390765062	0.000382113953293292	0.000400051932379709	0.0003674345950909	0.000301170438954172	0.000312469298055535	0.000169452181594869	0.00016160011618623
"[50,55)"	0.00188857718912537	0.00282933754391009	0.00247743223052326	0.00177590539840157	0.000789454760242027	0.000849509121212078	0.000299452499858254	0.000303463707639355	0.000273354369408023	0.0003674345950909	0.000287378601322952	0.000238693834880075	0.000311892656359156	0.000229420043744665	0.000231908629952188
"[55,60)"	0.00120337017728098	0.00208451812879891	0.00191910267187497	0.00150450631201412	0.000939260150803206	0.00101223176518342	0.000262791752710615	0.000327442970851964	0.000298315015135482	0.000301170438954172	0.000238693834880075	0.000200443943860945	0.000312923441820377	0.000261456355491323	0.000258492239812837
"[60,65)"	0.00149325580025265	0.00238064971180371	0.00203377990410485	0.00161897952211158	0.000936715284820355	0.00109755267435719	0.000354940467221112	0.00030880496814758	0.000324622222779106	0.000312469298055535	0.000311892656359156	0.000312923441820377	0.000283981325951086	0.000309020451524484	0.000362416279671019
"[65,70)"	0.000249017224057693	0.000454185702230222	0.000657124668712756	0.00047494024318969	0.000421240489900843	0.000443765295453441	0.000199844107845094	0.000302296120968356	0.000200702123426402	0.000169452181594869	0.000229420043744665	0.000261456355491323	0.000309020451524484	0.0004136981835831	0.000345481758889731
"70+"	0.000183426363882544	0.000439948186747309	0.000632303245821463	0.000353404047420361	0.00044105883317833	0.000455099780082576	0.000271166046660994	0.000318125677878936	0.000242433392277599	0.00016160011618623	0.000231908629952188	0.000258492239812837	0.000362416279671019	0.000345481758889731	0.000461068281486745
