"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0372240960536161	0.0413945432350259	0.0356589038916892	0.0185241980480414	0.00356423515390917	0.00217234014644542	0.0026028185888761	0.00365416122934322	0.00226545464959255	0.00177854745416231	0.00165251785649381	0.00129433705559764	0.00122604247815564	0.00021161761698039	0.000450795695753914
"[5,10)"	0.0413945432350259	0.0975694303644315	0.0803466725563066	0.0324600584803692	0.00278685029186679	0.00290446760720749	0.00311487975811767	0.00358001972212703	0.00305832533319087	0.00241811357154736	0.00214087014061718	0.00158642635228019	0.00128970910327801	0.000485448526928836	0.000381737563885041
"[10,15)"	0.0356589038916892	0.0803466725563066	0.0811065721702016	0.0446981152444728	0.00303535841161011	0.00294663554930071	0.00242231813606078	0.00332489209800439	0.00376672096719099	0.00258441543877146	0.00244760453277284	0.00204010031327141	0.00193024420045046	0.000400457254674329	0.000418337364418614
"[15,20)"	0.0185241980480414	0.0324600584803692	0.0446981152444728	0.0274440900146508	0.0046197498587214	0.00356459522706645	0.00165495559962981	0.00219502145882256	0.00187634954622563	0.00193090565238991	0.00204676898201913	0.00150084656771915	0.00196146632818238	0.000338517173329646	0.000468855075306406
"[20,25)"	0.00356423515390917	0.00278685029186679	0.00303535841161011	0.0046197498587214	0.00417828550556467	0.00265130684821894	0.0011818907562093	0.00121382087980719	0.00104762898825483	0.000952271346563039	0.000799216514092342	0.000840685914647931	0.00107945487422028	0.000657104254322908	0.000775595540531121
"[25,30)"	0.00217234014644542	0.00290446760720749	0.00294663554930071	0.00356459522706645	0.00265130684821894	0.00158193568581306	0.00151589140575773	0.00113053872912435	0.000853071961519107	0.000764485700547864	0.00111446016010203	0.000868691751450916	0.00104506649446722	0.000492555024072057	0.000521569976925142
"[30,35)"	0.0026028185888761	0.00311487975811767	0.00242231813606078	0.00165495559962981	0.0011818907562093	0.00151589140575773	0.000757982239715555	0.000623158075004582	0.000574849360305006	0.00041535210808512	0.000335126964183342	0.000138612999195795	0.000165472204095037	9.65778076258691e-05	0.000138753093969344
"[35,40)"	0.00365416122934322	0.00358001972212703	0.00332489209800439	0.00219502145882256	0.00121382087980719	0.00113053872912435	0.000623158075004582	0.000583410145282427	0.000604446281343339	0.00039135487837573	0.000341597961707505	0.000383996317404119	0.000280880752992989	0.000218891921456778	0.000220659408773435
"[40,45)"	0.00226545464959255	0.00305832533319087	0.00376672096719099	0.00187634954622563	0.00104762898825483	0.000853071961519107	0.000574849360305006	0.000604446281343339	0.000658838412478517	0.000438900334002622	0.000288437122357798	0.000278117916014335	0.000262370226449274	0.00017607584660073	0.000163150650022704
"[45,50)"	0.00177854745416231	0.00241811357154736	0.00258441543877146	0.00193090565238991	0.000952271346563039	0.000764485700547864	0.00041535210808512	0.00039135487837573	0.000438900334002622	0.000283578771870244	0.000307484927742148	0.000209614280369064	4.36295797830405e-05	0.000172540505723963	0.000205460625081232
"[50,55)"	0.00165251785649381	0.00214087014061718	0.00244760453277284	0.00204676898201913	0.000799216514092342	0.00111446016010203	0.000335126964183342	0.000341597961707505	0.000288437122357798	0.000307484927742148	0.000385962440251985	0.000208251798809102	0.000121407671674796	4.48045519031321e-05	0.000188588941512464
"[55,60)"	0.00129433705559764	0.00158642635228019	0.00204010031327141	0.00150084656771915	0.000840685914647931	0.000868691751450917	0.000138612999195795	0.000383996317404119	0.000278117916014335	0.000209614280369064	0.000208251798809102	0.000198023049873039	0.000138127931378755	9.29871165274412e-05	0.000196028672933156
"[60,65)"	0.00122604247815564	0.00128970910327801	0.00193024420045046	0.00196146632818238	0.00107945487422028	0.00104506649446722	0.000165472204095037	0.000280880752992989	0.000262370226449274	4.36295797830405e-05	0.000121407671674796	0.000138127931378755	3.79758689554093e-05	0.000165481550537257	0.000147628582330471
"[65,70)"	0.00021161761698039	0.000485448526928836	0.000400457254674329	0.000338517173329646	0.000657104254322908	0.000492555024072057	9.65778076258691e-05	0.000218891921456778	0.00017607584660073	0.000172540505723963	4.48045519031321e-05	9.29871165274412e-05	0.000165481550537257	0.000144996609481659	0.00016565755758603
"70+"	0.000450795695753914	0.000381737563885041	0.000418337364418614	0.000468855075306406	0.000775595540531121	0.000521569976925143	0.000138753093969344	0.000220659408773435	0.000163150650022704	0.000205460625081232	0.000188588941512464	0.000196028672933156	0.000147628582330471	0.00016565755758603	0.000590609202029057
