"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.000328799815259357	0.000205513907436475	0.000177709914326616	0.00126389377472241	0.00216554760977517	0.00249107021655604	0.00309814763507008	0.00306342203258514	0.00263193068851477	0.00224800398027234	0.00213454427896885	0.00190440542393413	0.000897274327683489	0.00109934255486499	0.000109020932743332
"[5,10)"	0.000205513907436475	0.000343174873006146	0.000433213657466116	0.00179756764233257	0.0027411310381104	0.00263771394018838	0.00371937386506712	0.00376972557664122	0.00344416012229851	0.00298094992328772	0.00307416365681771	0.00259347630415334	0.00137800342104687	0.00133689784421585	0.000178536318771841
"[10,15)"	0.000177709914326616	0.000433213657466116	0.000559343670922873	0.00181879949608966	0.00286255138335276	0.00285378450119205	0.00422921525831456	0.00453104503116435	0.00400351961108877	0.00363879744981667	0.00348286616860099	0.00296506650684204	0.00136863330656297	0.00138153080246148	0.000268519138724666
"[15,20)"	0.00126389377472241	0.00179756764233257	0.00181879949608966	0.00343726471733092	0.00484382344588799	0.0053208556146963	0.00519298321078094	0.00500973692463074	0.00486536717050253	0.00420027309783784	0.00428355908316636	0.00401213681650363	0.00279937155604933	0.00238892895833344	0.00123585524779761
"[20,25)"	0.00216554760977517	0.0027411310381104	0.00286255138335276	0.00484382344588799	0.00848121157207124	0.00851948402838314	0.00779878489502666	0.00724893028070158	0.00672553305403463	0.00637627819237141	0.0066767086976365	0.00661119231002882	0.00465869647519777	0.00368801189816037	0.00246346652589965
"[25,30)"	0.00249107021655604	0.00263771394018838	0.00285378450119205	0.0053208556146963	0.00851948402838313	0.00817859341377884	0.00916072095370368	0.00811651697796195	0.0072009296037879	0.0067858756802098	0.00689960888211779	0.00727722789497114	0.00539983660919185	0.00418603147019908	0.00268960462825817
"[30,35)"	0.00309814763507008	0.00371937386506712	0.00422921525831457	0.00519298321078094	0.00779878489502666	0.00916072095370368	0.00927443179843308	0.00901236390107519	0.00784270804092052	0.00738763178077489	0.00768872918558671	0.00741015369498904	0.0055732764227083	0.00421082428119612	0.002403807798997
"[35,40)"	0.00306342203258514	0.00376972557664122	0.00453104503116435	0.00500973692463074	0.00724893028070158	0.00811651697796195	0.00901236390107519	0.00926522966905463	0.00857177742332011	0.00809224151266602	0.00794536944624387	0.00764480805416411	0.00554834706413198	0.00417804822813154	0.00256179934103136
"[40,45)"	0.00263193068851477	0.00344416012229851	0.00400351961108877	0.00486536717050253	0.00672553305403463	0.0072009296037879	0.00784270804092052	0.00857177742332011	0.00827329995988453	0.00873717428366614	0.0084255732270071	0.00767603447422817	0.0053869163994092	0.0041164201547342	0.00254913675885156
"[45,50)"	0.00224800398027233	0.00298094992328772	0.00363879744981667	0.00420027309783784	0.00637627819237141	0.0067858756802098	0.00738763178077489	0.00809224151266602	0.00873717428366614	0.008678089397614	0.00904181562802136	0.00814909116810893	0.0058961785592851	0.00403627016434959	0.00260509474500913
"[50,55)"	0.00213454427896885	0.00307416365681771	0.00348286616860099	0.00428355908316636	0.0066767086976365	0.00689960888211779	0.00768872918558671	0.00794536944624387	0.0084255732270071	0.00904181562802136	0.00912999731749475	0.00905175834143122	0.00668088059963366	0.00452732855942407	0.00288476270813369
"[55,60)"	0.00190440542393413	0.00259347630415334	0.00296506650684204	0.00401213681650363	0.00661119231002882	0.00727722789497114	0.00741015369498904	0.00764480805416411	0.00767603447422817	0.00814909116810893	0.00905175834143122	0.00904038739756551	0.00684134127770307	0.00481951180921261	0.0025078271520729
"[60,65)"	0.000897274327683489	0.00137800342104687	0.00136863330656297	0.00279937155604933	0.00465869647519777	0.00539983660919185	0.0055732764227083	0.00554834706413198	0.0053869163994092	0.0058961785592851	0.00668088059963366	0.00684134127770307	0.00465389740667482	0.00453843520383678	0.00190668347619731
"[65,70)"	0.00109934255486499	0.00133689784421585	0.00138153080246148	0.00238892895833344	0.00368801189816037	0.00418603147019908	0.00421082428119612	0.00417804822813154	0.0041164201547342	0.00403627016434959	0.00452732855942407	0.00481951180921261	0.00453843520383678	0.0034500145642072	0.00200676182967092
"70+"	0.000109020932743332	0.000178536318771841	0.000268519138724666	0.00123585524779762	0.00246346652589965	0.00268960462825817	0.002403807798997	0.00256179934103136	0.00254913675885156	0.00260509474500913	0.00288476270813369	0.0025078271520729	0.00190668347619731	0.00200676182967092	0.00076170018267312
