"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.000113653214674588	0.000146841761519221	0.000179505784036788	0.00122985660797633	0.00177706090881475	0.0019434615641268	0.00371682538847867	0.00431421819981944	0.00244006021586177	0.00251821482941707	0.00182844207282764	0.00196301633590575	0.00103341649397464	0.00136423388042495	0.000141419353406984
"[5,10)"	0.000146841761519221	0.000364352396053748	0.000435682310989949	0.00225839183445932	0.00264764108825668	0.00260125786661206	0.00443436413515597	0.00479540890027054	0.00328627732114845	0.00331825163998518	0.00258148813910556	0.0027337820490493	0.00127298716923721	0.0017069113437407	0.000149897826772148
"[10,15)"	0.000179505784036787	0.000435682310989949	0.000603709423235793	0.00207493196498087	0.00225656403626577	0.00279501078965175	0.0053095885739513	0.00648859728345041	0.00437943462588818	0.00425753231539713	0.00291639431622249	0.00306685446354693	0.00140057054700722	0.00198127687666741	0.000211490290229517
"[15,20)"	0.00122985660797633	0.00225839183445932	0.00207493196498087	0.00297291978591812	0.0043422798124407	0.00497544629356428	0.00569654856816531	0.00585873463654165	0.0049315498439094	0.00437047500913655	0.00401506712267564	0.00379011337388119	0.00277609201645767	0.00277948547526645	0.00140237304406455
"[20,25)"	0.00177706090881475	0.00264764108825668	0.00225656403626577	0.0043422798124407	0.0072630703519499	0.0084720990039592	0.00748176496474941	0.00713806817506965	0.00656635016725909	0.00617194516426291	0.00614901552159903	0.00606688096858268	0.00442909178824414	0.00366955620484014	0.00241431545379869
"[25,30)"	0.0019434615641268	0.00260125786661206	0.00279501078965175	0.00497544629356427	0.0084720990039592	0.00876214867372565	0.00975600955848678	0.00857765141693161	0.00721258547665979	0.00667388994221811	0.00735913913491236	0.00733297534757261	0.00607937490051211	0.00460253643260144	0.00299737286247237
"[30,35)"	0.00371682538847867	0.00443436413515597	0.0053095885739513	0.00569654856816531	0.00748176496474941	0.00975600955848678	0.00982348189279731	0.00913453153892224	0.00778262600573881	0.00737688153313345	0.00770958331263316	0.00728397542149811	0.00584292944970509	0.00436257223135166	0.00267706266858635
"[35,40)"	0.00431421819981944	0.00479540890027054	0.0064885972834504	0.00585873463654165	0.00713806817506965	0.00857765141693161	0.00913453153892224	0.00973878752507523	0.00819655220427427	0.00827380000284293	0.00795636841147785	0.00716664122758426	0.00562997853809392	0.00437887258248805	0.0028049850468399
"[40,45)"	0.00244006021586177	0.00328627732114845	0.00437943462588818	0.0049315498439094	0.00656635016725909	0.00721258547665979	0.00778262600573881	0.00819655220427427	0.00815436858318169	0.00836753098724039	0.00829441787175629	0.00673130010572184	0.00509247209429531	0.00396818268466758	0.00254856444084517
"[45,50)"	0.00251821482941707	0.00331825163998518	0.00425753231539713	0.00437047500913655	0.00617194516426291	0.00667388994221811	0.00737688153313345	0.00827380000284293	0.00836753098724039	0.00841104043833963	0.00861980174904188	0.00741240737280696	0.00561386808314666	0.00393563393036712	0.0025696086786801
"[50,55)"	0.00182844207282764	0.00258148813910555	0.00291639431622249	0.00401506712267564	0.00614901552159903	0.00735913913491236	0.00770958331263316	0.00795636841147785	0.00829441787175629	0.00861980174904188	0.00869438143485359	0.00837845228250162	0.00608481312228691	0.00407497988652	0.00262701960815911
"[55,60)"	0.00196301633590575	0.0027337820490493	0.00306685446354693	0.00379011337388119	0.00606688096858268	0.00733297534757261	0.00728397542149811	0.00716664122758426	0.00673130010572184	0.00741240737280696	0.00837845228250162	0.00783306500177761	0.0063042301532017	0.004302292393119	0.00205297868220272
"[60,65)"	0.00103341649397464	0.00127298716923721	0.00140057054700722	0.00277609201645767	0.00442909178824414	0.00607937490051211	0.00584292944970509	0.00562997853809392	0.00509247209429531	0.00561386808314666	0.00608481312228691	0.0063042301532017	0.00409712759349624	0.00421312353554049	0.00180188720560409
"[65,70)"	0.00136423388042495	0.0017069113437407	0.00198127687666741	0.00277948547526645	0.00366955620484014	0.00460253643260144	0.00436257223135166	0.00437887258248805	0.00396818268466758	0.00393563393036712	0.00407497988652	0.004302292393119	0.00421312353554049	0.00370170404144271	0.00191980962676187
"70+"	0.000141419353406984	0.000149897826772148	0.000211490290229517	0.00140237304406455	0.00241431545379869	0.00299737286247237	0.00267706266858635	0.0028049850468399	0.00254856444084517	0.0025696086786801	0.00262701960815911	0.00205297868220272	0.00180188720560409	0.00191980962676187	0.000392822733267855
