"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.000155487919469989	0.000393222870706433	0.0002359249881411	0.000749661603061778	0.00163767771585462	0.00247017737081565	0.00216996086745854	0.00147046749409545	0.00167961111317263	0.00164817098984787	0.00187649526408268	0.00125306014186148	0.000581575021851168	0.000623109380200547	6.49654325821065e-05
"[5,10)"	0.000393222870706433	0.000499472520719133	0.000571900532172001	0.00121521522170114	0.00212612324965578	0.00208314014426478	0.00270953365911578	0.00214175537408138	0.00227205970248899	0.00215197099921516	0.00278353680820887	0.00193248177479158	0.00109268870999084	0.000859178275709787	8.11429822599587e-05
"[10,15)"	0.0002359249881411	0.000571900532172001	0.000436928865331804	0.00123162834775487	0.00232781433158569	0.0017694659642966	0.00303374823621545	0.00211632329747311	0.00256942707696242	0.00244606813049768	0.00292919618155664	0.0024737050878993	0.000841377005795552	0.000622398721941846	0.000307140206177658
"[15,20)"	0.000749661603061778	0.00121521522170114	0.00123162834775487	0.0030208314704575	0.00377089489709388	0.00441118540074568	0.00420539395298998	0.00379462931408745	0.00428819564540087	0.00331627874535394	0.00341389507725446	0.00362164658310934	0.00228205221766947	0.00171971366317191	0.000849850792197648
"[20,25)"	0.00163767771585462	0.00212612324965578	0.00232781433158569	0.00377089489709388	0.007331186887507	0.00878483795128266	0.00791727524100327	0.00695848702908836	0.00676214321926328	0.00656599144271361	0.00735065038935178	0.0075412597992879	0.00444428552514722	0.00375060538633494	0.002072060522132
"[25,30)"	0.00247017737081565	0.00208314014426478	0.0017694659642966	0.00441118540074568	0.00878483795128266	0.00785722164920328	0.0090154528738332	0.00740080657061513	0.00682377284692126	0.00656948000513989	0.00750997664616819	0.0081146983722758	0.00481987551314345	0.00436719225849684	0.00282389730080362
"[30,35)"	0.00216996086745854	0.00270953365911578	0.00303374823621545	0.00420539395298998	0.00791727524100327	0.00901545287383321	0.00850277417076244	0.00871562719677811	0.00928037189826214	0.00752372867679887	0.00895598354201839	0.00796299439902829	0.00600564168026453	0.00484820645853187	0.0025989705669949
"[35,40)"	0.00147046749409545	0.00214175537408138	0.00211632329747311	0.00379462931408745	0.00695848702908836	0.00740080657061513	0.00871562719677811	0.00861937484981979	0.00893999856204615	0.00848225980536836	0.00915264791586421	0.00871823316043958	0.00613081862182429	0.0046364284159593	0.00250878475434346
"[40,45)"	0.00167961111317263	0.00227205970248899	0.00256942707696242	0.00428819564540087	0.00676214321926328	0.00682377284692126	0.00928037189826213	0.00893999856204615	0.00837431232265155	0.00937454506591129	0.00970755160021096	0.00952730758258593	0.00550051376765491	0.00397530603496913	0.00223407536692612
"[45,50)"	0.00164817098984787	0.00215197099921516	0.00244606813049768	0.00331627874535393	0.00656599144271361	0.00656948000513989	0.00752372867679887	0.00848225980536836	0.00937454506591129	0.010015790799694	0.0112858381155547	0.0100408952127489	0.00630862508203322	0.00510809963785438	0.00301059905059724
"[50,55)"	0.00187649526408268	0.00278353680820887	0.00292919618155664	0.00341389507725446	0.00735065038935178	0.00750997664616819	0.00895598354201839	0.00915264791586421	0.00970755160021096	0.0112858381155547	0.0117967197212884	0.0122340299398867	0.00908210146280261	0.0061434227032094	0.00392545086792595
"[55,60)"	0.00125306014186148	0.00193248177479158	0.00247370508789931	0.00362164658310934	0.0075412597992879	0.0081146983722758	0.00796299439902829	0.00871823316043958	0.00952730758258593	0.0100408952127489	0.0122340299398867	0.0121326264217766	0.00867583647765181	0.0060679658090959	0.00303438646375335
"[60,65)"	0.000581575021851168	0.00109268870999084	0.000841377005795552	0.00228205221766947	0.00444428552514722	0.00481987551314345	0.00600564168026453	0.00613081862182429	0.00550051376765491	0.00630862508203322	0.00908210146280261	0.00867583647765181	0.00566872551605073	0.00530976602291021	0.00190690143765689
"[65,70)"	0.000623109380200547	0.000859178275709787	0.000622398721941846	0.00171971366317191	0.00375060538633494	0.00436719225849684	0.00484820645853187	0.0046364284159593	0.00397530603496913	0.00510809963785438	0.0061434227032094	0.00606796580909589	0.00530976602291021	0.00339485266876886	0.00198615059087075
"70+"	6.49654325821065e-05	8.11429822599587e-05	0.000307140206177658	0.000849850792197648	0.002072060522132	0.00282389730080362	0.0025989705669949	0.00250878475434346	0.00223407536692612	0.00301059905059724	0.00392545086792595	0.00303438646375335	0.00190690143765689	0.00198615059087075	0.000774395406589392
