"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.00054546168018543	0.0001226047454078	9.4758065341303e-05	0.00115472537601713	0.00288999650744092	0.00292111026582875	0.00269530365353041	0.00279316066792273	0.00298627629646347	0.00226064410008237	0.00258576342895066	0.00226670570241626	0.000818015087121126	0.00108934897982604	7.96152423451895e-05
"[5,10)"	0.0001226047454078	0.000191997758159369	0.000325951756444637	0.00144133337294675	0.00337981050622311	0.00286520992748737	0.00333000058659838	0.00369862139006864	0.00409948800893389	0.00321551639433377	0.00365437465125576	0.00288926432458372	0.00153560875222355	0.00125311854506153	0.000262346812418571
"[10,15)"	9.4758065341303e-05	0.000325951756444637	0.000560133051970052	0.00175840381374504	0.00371585405662518	0.00316415620466201	0.00352803058166911	0.00407156443328826	0.00415408662207514	0.00374986495089741	0.00404764646161981	0.00320389463381669	0.00134971440091573	0.00129470327400961	0.000287671146022374
"[15,20)"	0.00115472537601713	0.00144133337294675	0.00175840381374504	0.00394318050162746	0.00579285026566126	0.00604498967716554	0.0049573022555207	0.00479369546336203	0.00505688360342079	0.00450551625750114	0.00495528749551622	0.0044144599142474	0.00303173424174148	0.00248373573255654	0.00124123289184171
"[20,25)"	0.00288999650744092	0.00337981050622311	0.00371585405662518	0.00579285026566126	0.00984232536601075	0.00879127577767332	0.00810943939816786	0.00768337061371064	0.00693354682681169	0.00651084830875288	0.00682647565672097	0.00689510539696392	0.00516692748376842	0.00384541176573255	0.00285115753397281
"[25,30)"	0.00292111026582875	0.00286520992748737	0.00316415620466201	0.00604498967716554	0.00879127577767332	0.00806178396157202	0.0087085258876552	0.00806822023527169	0.00748604581781171	0.00679951347485481	0.00651015891177569	0.00697404171134723	0.00560198454294148	0.00389366707813386	0.00245699958954019
"[30,35)"	0.00269530365353041	0.00333000058659838	0.00352803058166911	0.0049573022555207	0.00810943939816786	0.0087085258876552	0.00884614930522534	0.00887113025024471	0.00728467499736784	0.00718325235513083	0.00689492376844947	0.00737321471416348	0.00516158342883279	0.00352584427449183	0.00192111324543727
"[35,40)"	0.00279316066792273	0.00369862139006864	0.00407156443328826	0.00479369546336202	0.00768337061371064	0.00806822023527168	0.00887113025024471	0.0095444774732514	0.00875187161887001	0.00755466084030672	0.00739478832104676	0.00770442585121269	0.00523108966004049	0.00388150750537666	0.00233427081316612
"[40,45)"	0.00298627629646347	0.00409948800893389	0.00415408662207514	0.00505688360342079	0.00693354682681169	0.00748604581781171	0.00728467499736784	0.00875187161887001	0.00810291093504752	0.00857611698829616	0.00794621498277684	0.00767634264647791	0.00576237802626153	0.00402425437542719	0.00258878015214258
"[45,50)"	0.00226064410008237	0.00321551639433377	0.00374986495089741	0.00450551625750114	0.00651084830875288	0.00679951347485481	0.00718325235513083	0.00755466084030672	0.00857611698829616	0.00807570833552238	0.00818998927740704	0.00775027135310402	0.00587058277670841	0.0035163921010564	0.00217215420548313
"[50,55)"	0.00258576342895066	0.00365437465125576	0.00404764646161981	0.00495528749551622	0.00682647565672097	0.00651015891177569	0.00689492376844947	0.00739478832104676	0.00794621498277684	0.00818998927740703	0.00829890541157054	0.00836349363903244	0.00618495549946778	0.00421840466553547	0.00263950976345121
"[55,60)"	0.00226670570241626	0.00288926432458372	0.00320389463381669	0.0044144599142474	0.00689510539696392	0.00697404171134723	0.00737321471416348	0.00770442585121269	0.00767634264647791	0.00775027135310402	0.00836349363903244	0.00894175901933179	0.00671104294519905	0.00467065573173852	0.00271075640267269
"[60,65)"	0.000818015087121126	0.00153560875222355	0.00134971440091573	0.00303173424174148	0.00516692748376842	0.00560198454294148	0.00516158342883279	0.00523108966004049	0.00576237802626153	0.00587058277670841	0.00618495549946778	0.00671104294519905	0.00492352997581314	0.0046275735658392	0.0020967713615099
"[65,70)"	0.00108934897982604	0.00125311854506153	0.00129470327400961	0.00248373573255654	0.00384541176573255	0.00389366707813386	0.00352584427449183	0.00388150750537666	0.00402425437542719	0.0035163921010564	0.00421840466553547	0.00467065573173852	0.0046275735658392	0.003203833684276	0.00209541102277388
"70+"	7.96152423451895e-05	0.000262346812418571	0.000287671146022374	0.00124123289184171	0.00285115753397281	0.00245699958954019	0.00192111324543727	0.00233427081316612	0.00258878015214258	0.00217215420548313	0.00263950976345121	0.00271075640267269	0.0020967713615099	0.00209541102277388	0.00114770221391489
