"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.00962053864398963	0.00898881826614151	0.00640916988925453	0.00393476054955955	0.00491362502725278	0.00663527780952857	0.0084555796833165	0.00697505466594055	0.0049075521904813	0.00360908895229415	0.00344133047213318	0.00337248838216011	0.00377204327183256	0.00237989978759626	0.00103707019501497
"[5,10)"	0.00898881826614151	0.0177923297460549	0.0122244666119406	0.00568167045594915	0.00356155849806419	0.00609232827407452	0.00969975386315498	0.0106279568095233	0.00817251902223441	0.00471679129896556	0.00245293635563942	0.00223204695264228	0.00368674546958537	0.00339381253117853	0.00160627879369214
"[10,15)"	0.00640916988925453	0.0122244666119406	0.0129007516235658	0.00926669154069303	0.003579110376269	0.00447535168366954	0.00657224586969556	0.0081884090321173	0.00893082310359708	0.0065085418822281	0.0033795018664927	0.00298969094918637	0.00308664067058052	0.0032646514797597	0.00293095345965448
"[15,20)"	0.00393476054955955	0.00568167045594914	0.00926669154069303	0.0107875517503522	0.00713200816871834	0.00694819192094078	0.00394254688363929	0.00495605985281679	0.00870410087923407	0.0075827775902408	0.00440723330297664	0.00371029512046248	0.00306838068738203	0.00304203286846102	0.0029825978439025
"[20,25)"	0.00491362502725278	0.00356155849806419	0.003579110376269	0.00713200816871834	0.00865506542089984	0.0068613434889815	0.00357824514772796	0.00285325091002726	0.00441057503804516	0.00494002638362299	0.00503419341438356	0.00420855334039624	0.00235232882831126	0.00206297247678131	0.000875047935912082
"[25,30)"	0.00663527780952857	0.00609232827407452	0.00447535168366954	0.00694819192094078	0.0068613434889815	0.00557099949455527	0.00474435355208869	0.00377849542309473	0.00310803126870534	0.00370978990307818	0.004110707080058	0.00329988991633032	0.00341926126359235	0.002713542823793	0.000890075185630082
"[30,35)"	0.0084555796833165	0.00969975386315498	0.00657224586969556	0.00394254688363929	0.00357824514772796	0.00474435355208869	0.00531749877676921	0.00533808538117659	0.00379421701929692	0.00231381273781646	0.00273822678480078	0.00297602571840351	0.00304318307216729	0.00252449390931506	0.000980845576684587
"[35,40)"	0.00697505466594055	0.0106279568095233	0.0081884090321173	0.00495605985281679	0.00285325091002726	0.00377849542309473	0.00533808538117659	0.0051177999782445	0.00460818847484768	0.00311239755393784	0.00201152424425093	0.00210881914461382	0.0037220073548665	0.00357977763920618	0.00206217081496976
"[40,45)"	0.0049075521904813	0.00817251902223441	0.00893082310359708	0.00870410087923407	0.00441057503804516	0.00310803126870534	0.00379421701929692	0.00460818847484768	0.00403790601262238	0.00473831858246014	0.00382810737211007	0.00216167278839857	0.00352238471374435	0.00318144791116256	0.00259430805371316
"[45,50)"	0.00360908895229415	0.00471679129896556	0.0065085418822281	0.0075827775902408	0.00494002638362299	0.00370978990307818	0.00231381273781646	0.00311239755393784	0.00473831858246014	0.00476845984530696	0.00461743029054591	0.002953501813459	0.00248687647651716	0.00181179988004955	0.00271444853444004
"[50,55)"	0.00344133047213318	0.00245293635563942	0.0033795018664927	0.00440723330297664	0.00503419341438356	0.004110707080058	0.00273822678480078	0.00201152424425093	0.00382810737211007	0.00461743029054591	0.00435433653513621	0.00424927910528722	0.00370003927793443	0.00138242457181398	0.00289951855070012
"[55,60)"	0.00337248838216011	0.00223204695264228	0.00298969094918637	0.00371029512046248	0.00420855334039624	0.00329988991633032	0.00297602571840351	0.00210881914461382	0.00216167278839857	0.002953501813459	0.00424927910528722	0.00400608889860813	0.00522381962004763	0.003170965961279	0.00194545676645425
"[60,65)"	0.00377204327183256	0.00368674546958537	0.00308664067058052	0.00306838068738203	0.00235232882831126	0.00341926126359235	0.00304318307216729	0.00372200735486651	0.00352238471374435	0.00248687647651716	0.00370003927793443	0.00522381962004763	0.00609307800325716	0.00686358240984411	0.00166404427169525
"[65,70)"	0.00237989978759626	0.00339381253117853	0.0032646514797597	0.00304203286846102	0.00206297247678131	0.002713542823793	0.00252449390931506	0.00357977763920618	0.00318144791116256	0.00181179988004955	0.00138242457181398	0.003170965961279	0.00686358240984411	0.00750876386089846	0.00370847952444746
"70+"	0.00103707019501497	0.00160627879369214	0.00293095345965448	0.0029825978439025	0.000875047935912082	0.000890075185630082	0.000980845576684587	0.00206217081496976	0.00259430805371316	0.00271444853444004	0.00289951855070012	0.00194545676645425	0.00166404427169525	0.00370847952444746	0.00564517861996541
