"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0100411172679547	0.00992945004801533	0.00561724286153399	0.00178856692579833	0.00384784544599362	0.00982335419028993	0.0129706208345164	0.00868114011827772	0.00452905126412682	0.000763191289274042	0.00397405390520847	0.00273733940963573	0.00323525259906474	0.00185723755897506	0.000982568847927592
"[5,10)"	0.00992945004801533	0.0174156759047162	0.0117326139951898	0.00459778378326907	0.00193359203617749	0.0059089144245656	0.00993097414443712	0.0118262270439476	0.00958511224607703	0.00371784198627745	0.00119317190709498	0.00217305313300786	0.00411951246311395	0.00409400241922103	0.00278569328467546
"[10,15)"	0.00561724286153399	0.0117326139951898	0.013868668281653	0.00914344783697654	0.000995253296490516	0.00192604449438065	0.00500206009888303	0.00778823664257037	0.00974997081180965	0.00816367110992607	0.003871178617517	0.00145081177504143	0.00244641602007524	0.00353063405725982	0.00317740246109528
"[15,20)"	0.00178856692579833	0.00459778378326907	0.00914344783697654	0.0158412671624578	0.00699906879338837	0.00276295061795935	0.00154184568445079	0.00446018683024554	0.00737069298088187	0.00985771580051077	0.00776356033746846	0.00348804660046453	0.00163314118546229	0.00499715359626478	0.00380468543505312
"[20,25)"	0.00384784544599362	0.00193359203617749	0.000995253296490516	0.00699906879338838	0.0115213568035131	0.00835464780365183	0.00325405389849358	0.00220444782595894	0.00319270513558839	0.00857584315065358	0.00506839501598282	0.00243799786092925	0.00172567603712598	0.00156990614445405	0.00118811816009761
"[25,30)"	0.00982335419028993	0.0059089144245656	0.00192604449438065	0.00276295061795935	0.00835464780365183	0.00812313683611127	0.00468711052077947	0.0019609665931769	0.00200944658307871	0.00216583695888963	0.00455476707628481	0.00412124288835872	0.00341938101894372	0.00149120693598557	0.000596398979861389
"[30,35)"	0.0129706208345164	0.00993097414443712	0.00500206009888303	0.00154184568445079	0.00325405389849358	0.00468711052077947	0.00990304976956783	0.00472579281151645	0.00267035566999886	0.00196443292513797	0.00319699202680661	0.00263899129435057	0.00323157838664915	0.00216675146932451	0.00127652233706341
"[35,40)"	0.00868114011827772	0.0118262270439476	0.00778823664257037	0.00446018683024554	0.00220444782595894	0.0019609665931769	0.00472579281151645	0.00798196660197802	0.00474741454996588	0.00200808083063825	0.00312064802888148	0.00161451882904732	0.0040557280160311	0.00460429519161699	0.00151401860667225
"[40,45)"	0.00452905126412682	0.00958511224607703	0.00974997081180965	0.00737069298088187	0.00319270513558839	0.00200944658307871	0.00267035566999886	0.00474741454996587	0.00526434521214175	0.00312011394002068	0.00237379020929051	0.000900620343487	0.00372960243040072	0.00470048894760438	0.00357147956285051
"[45,50)"	0.000763191289274042	0.00371784198627745	0.00816367110992607	0.00985771580051077	0.00857584315065358	0.00216583695888963	0.00196443292513797	0.00200808083063825	0.00312011394002068	0.00896147503129774	0.00319253182847915	0.00359807533687913	0.00174704806158823	0.00194129778142947	0.00249134889993605
"[50,55)"	0.00397405390520847	0.00119317190709498	0.00387117861751701	0.00776356033746846	0.00506839501598282	0.00455476707628481	0.00319699202680661	0.00312064802888148	0.00237379020929051	0.00319253182847915	0.00650090094749564	0.00421352135036764	0.00255397441565622	0.000384681567682638	0.00375085798949121
"[55,60)"	0.00273733940963573	0.00217305313300786	0.00145081177504143	0.00348804660046453	0.00243799786092925	0.00412124288835872	0.00263899129435057	0.00161451882904732	0.000900620343487	0.00359807533687913	0.00421352135036764	0.007611507587978	0.0048658542574593	0.00187320121054763	0.00241739726389284
"[60,65)"	0.00323525259906474	0.00411951246311395	0.00244641602007524	0.00163314118546229	0.00172567603712598	0.00341938101894372	0.00323157838664915	0.00405572801603111	0.00372960243040072	0.00174704806158823	0.00255397441565622	0.0048658542574593	0.0087234929155838	0.00592674234469895	0.00180670635888438
"[65,70)"	0.00185723755897506	0.00409400241922103	0.00353063405725982	0.00499715359626478	0.00156990614445405	0.00149120693598557	0.00216675146932451	0.00460429519161699	0.00470048894760438	0.00194129778142947	0.000384681567682638	0.00187320121054763	0.00592674234469895	0.0123192729056555	0.00341345730360694
"70+"	0.000982568847927592	0.00278569328467546	0.00317740246109528	0.00380468543505312	0.00118811816009761	0.000596398979861389	0.00127652233706341	0.00151401860667225	0.00357147956285051	0.00249134889993605	0.00375085798949121	0.00241739726389284	0.00180670635888438	0.00341345730360694	0.00602947833966147
