"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0094846556720107	0.00881210344560385	0.00643376302580801	0.00318372790673405	0.00489533218591869	0.0082406002728474	0.0111700839732608	0.00875099905117094	0.00468749120977985	0.0027996189879156	0.00268638308966967	0.00300235806568312	0.00365078650315751	0.00266046940177251	0.00098036697425279
"[5,10)"	0.00881210344560385	0.0177270317109129	0.0124177572226141	0.00540862262893579	0.00284163612446615	0.00543746025494196	0.00734246226239975	0.00877300840801331	0.00739174423867616	0.00449790936237798	0.00236682790675999	0.00173079154739617	0.00336027933914917	0.00370513198634428	0.00175353518194923
"[10,15)"	0.00643376302580801	0.0124177572226141	0.0130104989958965	0.00912048405906865	0.00321077719522965	0.00430482975967492	0.00609368342663254	0.00760024340887362	0.00859148997363047	0.00736016503967659	0.00376112867159051	0.00207329272719524	0.00277129951771093	0.00285327110442602	0.00316121468112972
"[15,20)"	0.00318372790673405	0.00540862262893579	0.00912048405906865	0.0111024426215844	0.00730900805586227	0.00670306371775912	0.00437946351825968	0.00488122944239525	0.00888927786775341	0.00925544817771797	0.00687514030935376	0.00507060629216412	0.00313709129611955	0.00315308233232539	0.00294257802323694
"[20,25)"	0.00489533218591869	0.00284163612446615	0.00321077719522965	0.00730900805586227	0.00816556767599006	0.00692618735016206	0.00366685082447296	0.00264166987701391	0.00414817353516322	0.00528461139696163	0.00530420470455026	0.00411447808237581	0.00248110910733459	0.00221974422874509	0.000862268228877028
"[25,30)"	0.0082406002728474	0.00543746025494196	0.00430482975967492	0.00670306371775912	0.00692618735016206	0.00549478173901496	0.0047097183170318	0.00364489641779112	0.00283942709928857	0.00426777979522921	0.00470045186702712	0.00304366119203704	0.00322858737519389	0.00269636068282905	0.000839491386527038
"[30,35)"	0.0111700839732608	0.00734246226239975	0.00609368342663254	0.00437946351825968	0.00366685082447296	0.0047097183170318	0.00533911755842967	0.00513500466869741	0.00365426826121134	0.00228344390253042	0.00290159240156015	0.00289525421294978	0.00305560026480967	0.00272475495262279	0.000947947172021435
"[35,40)"	0.00875099905117094	0.0087730084080133	0.00760024340887362	0.00488122944239525	0.00264166987701391	0.00364489641779112	0.00513500466869741	0.00521097108164996	0.00477860378129707	0.00314090757170092	0.00194907603414989	0.00212006968949044	0.00346548331320077	0.00352306520309382	0.00215237434565401
"[40,45)"	0.00468749120977985	0.00739174423867616	0.00859148997363047	0.00888927786775341	0.00414817353516322	0.00283942709928857	0.00365426826121134	0.00477860378129707	0.00411518335046399	0.00450289183983559	0.00363774801855612	0.002182202282109	0.00368399923481551	0.0031167584570039	0.0025675571299946
"[45,50)"	0.0027996189879156	0.00449790936237798	0.00736016503967659	0.00925544817771797	0.00528461139696163	0.00426777979522921	0.00228344390253042	0.00314090757170092	0.00450289183983559	0.00548001278479518	0.00450073352016216	0.00290368682756913	0.00243246008699608	0.00180562320973273	0.00275530395231526
"[50,55)"	0.00268638308966967	0.00236682790675999	0.00376112867159051	0.00687514030935376	0.00530420470455026	0.00470045186702712	0.00290159240156015	0.00194907603414989	0.00363774801855612	0.00450073352016216	0.00425212481339451	0.00451376936542214	0.00329984640030538	0.00150776214477998	0.00275992654328904
"[55,60)"	0.00300235806568312	0.00173079154739616	0.00207329272719524	0.00507060629216412	0.00411447808237581	0.00304366119203704	0.00289525421294978	0.00212006968949044	0.002182202282109	0.00290368682756913	0.00451376936542214	0.00378148395684538	0.00544748205184511	0.00314415698963163	0.00191466732981088
"[60,65)"	0.00365078650315751	0.00336027933914917	0.00277129951771093	0.00313709129611955	0.00248110910733459	0.00322858737519389	0.00305560026480967	0.00346548331320077	0.00368399923481551	0.00243246008699608	0.00329984640030538	0.00544748205184511	0.00620169425272776	0.0065069480228873	0.00181556281652438
"[65,70)"	0.00266046940177251	0.00370513198634428	0.00285327110442602	0.00315308233232539	0.00221974422874509	0.00269636068282905	0.00272475495262279	0.00352306520309382	0.0031167584570039	0.00180562320973273	0.00150776214477998	0.00314415698963163	0.0065069480228873	0.00758994336952256	0.00374144324829101
"70+"	0.000980366974252791	0.00175353518194923	0.00316121468112972	0.00294257802323694	0.000862268228877028	0.000839491386527038	0.000947947172021435	0.00215237434565401	0.0025675571299946	0.00275530395231526	0.00275992654328904	0.00191466732981088	0.00181556281652438	0.00374144324829101	0.00591095867503454
