"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0100500129474978	0.00993824679874628	0.00562221931894191	0.00285302942101531	0.00390739429322279	0.0083185210281565	0.00950834077026578	0.00768195577542604	0.00344258750447632	0.00363139058227655	0.00442643263705818	0.00273976448779576	0.00323811879110236	0.00185888293266398	0.00098343933050109
"[5,10)"	0.00993824679874628	0.0174311048921227	0.0117430082144304	0.00460185707611617	0.00304600831212633	0.00631842049853769	0.0112796642093204	0.0118672437326492	0.00945265464663221	0.00334724020797538	0.00232613468402434	0.00217497829569499	0.00412316204331182	0.00409762939942634	0.00278816120075537
"[10,15)"	0.00562221931894191	0.0117430082144304	0.0138809548853676	0.00915154824848517	0.000996135016537553	0.00185439008822555	0.00591089910839624	0.00944278158927744	0.0113158915642288	0.00553276361040923	0.00352134082388808	0.00315499476310022	0.00279968479003983	0.00353376193519603	0.00318021740223371
"[15,20)"	0.00285302942101531	0.00460185707611617	0.00915154824848517	0.0158553013413717	0.00700526944531033	0.00276539838573608	0.00245898395112193	0.00525118707937095	0.00803838631815125	0.00741113845174674	0.0043762855340437	0.00233798131689798	0.00187848503695171	0.00500158070092193	0.00380805610203065
"[20,25)"	0.00390739429322279	0.00304600831212633	0.000996135016537553	0.00700526944531033	0.0115315638646689	0.00836204939727667	0.00325693674707751	0.00220640080199795	0.00319553363375287	0.0085834407068263	0.0050728852352141	0.00244015774484644	0.00172720485713792	0.00157129696398151	0.00118917074400132
"[25,30)"	0.0083185210281565	0.00631842049853769	0.00185439008822555	0.00276539838573608	0.00836204939727667	0.0081303333283193	0.00469126295044076	0.00196270386303862	0.00201122680258866	0.00216775572858575	0.00455880225954408	0.00412489400158405	0.00342241033500174	0.0014925280338954	0.000596927344789624
"[30,35)"	0.00950834077026578	0.0112796642093204	0.00591089910839624	0.00245898395112193	0.00325693674707751	0.00469126295044076	0.00991182313162492	0.00472997951079667	0.00267272140557116	0.00196617326591077	0.00319982432283637	0.00264132924342986	0.00323444132360914	0.00216867104920854	0.00127765324046162
"[35,40)"	0.00768195577542604	0.0118672437326492	0.00944278158927744	0.00525118707937095	0.00220640080199795	0.00196270386303862	0.00472997951079667	0.00798903802790803	0.0047516204044906	0.00200985984019359	0.00312341268983414	0.0016159491720795	0.00405932108797537	0.0046083742530853	0.00151535991401762
"[40,45)"	0.00344258750447632	0.00945265464663221	0.0113158915642288	0.00803838631815125	0.00319553363375287	0.00201122680258866	0.00267272140557116	0.0047516204044906	0.00526900902860378	0.00312287812781052	0.00237589321002647	0.000901418225809441	0.00373290657944695	0.00470465322955209	0.00357464362685235
"[45,50)"	0.00363139058227655	0.00334724020797538	0.00553276361040923	0.00741113845174674	0.0085834407068263	0.00216775572858575	0.00196617326591077	0.00200985984019359	0.00312287812781052	0.00896941422849906	0.00319536017310649	0.00360126296274931	0.00174859581561675	0.0019430176261938	0.00249355604888695
"[50,55)"	0.00442643263705818	0.00232613468402434	0.00352134082388808	0.0043762855340437	0.0050728852352141	0.00455880225954408	0.00319982432283637	0.00312341268983414	0.00237589321002647	0.00319536017310649	0.0065066602599334	0.00421725421541449	0.00255623704613416	0.000385022366804979	0.00375418096937441
"[55,60)"	0.00273976448779576	0.00217497829569499	0.00315499476310022	0.00233798131689798	0.00244015774484644	0.00412489400158405	0.00264132924342986	0.0016159491720795	0.000901418225809441	0.00360126296274931	0.00421725421541449	0.00761825081490541	0.00487016504071407	0.00187486072683891	0.0024195388972205
"[60,65)"	0.00323811879110236	0.00412316204331182	0.00279968479003983	0.00187848503695171	0.00172720485713792	0.00342241033500174	0.00323444132360914	0.00405932108797537	0.00373290657944695	0.00174859581561675	0.00255623704613416	0.00487016504071407	0.00873122127841463	0.00593199299552057	0.00180830696570614
"[65,70)"	0.00185888293266398	0.00409762939942634	0.00353376193519603	0.00500158070092193	0.00157129696398151	0.0014925280338954	0.00216867104920854	0.0046083742530853	0.00470465322955209	0.0019430176261938	0.000385022366804979	0.00187486072683891	0.00593199299552057	0.0123301868608507	0.00341648137169584
"70+"	0.00098343933050109	0.00278816120075537	0.00318021740223371	0.00380805610203065	0.00118917074400132	0.000596927344789624	0.00127765324046162	0.00151535991401762	0.00357464362685235	0.00249355604888695	0.00375418096937441	0.0024195388972205	0.00180830696570614	0.00341648137169585	0.00603482000689734
