"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0458937142045847	0.0062202732909245	0.000822922110375076	0.00151371064268024	0.00037658293159914	0.00443002504085797	0.00347864679130497	0.0044948485328491	0.00169290988059302	0.00140383955348479	0	0.000271070051021994	0.000342217770216619	0.00019739899628335	0.000113222482792096
"[5,10)"	0.0062202732909245	0.210256935399236	0.0139335245903649	0.00413935968494221	0.00177207077648022	0.00399485353046397	0.00601549000142555	0.00762884735917174	0.0041490860495133	0.00348930613883296	0.00335661163953874	0.00136058354068958	0.00380107838471836	0.00280593044020224	0
"[10,15)"	0.000822922110375076	0.0139335245903649	0.193407333532784	0.0161091173462285	0.000901516715040365	0.00381188004258641	0.00312261132134135	0.00802600667047018	0.00570214992443868	0.00344361836556124	0.00291488636990506	0.00197088471574558	0.000407933501453869	0.00195723530383893	0
"[15,20)"	0.00151371064268024	0.00413935968494221	0.0161091173462285	0.131137117920088	0.00457423787185344	0.00449140282197761	0.0028804335926193	0.00252723879515654	0.00136831522935053	0.00312305982104312	0.00143050872813722	0.00108119701457017	0.000456290360288826	0	0.00090691871073241
"[20,25)"	0.00037658293159914	0.00177207077648022	0.000901516715040365	0.00457423787185344	0.015040762564319	0.000234643338453177	0.00135167975995191	0.000774858228227539	0.00152148622848799	0.000268207695107206	0.000295956580537264	0.000274183520178403	0.000479287367489815	0.0003947979925667	0
"[25,30)"	0.00443002504085797	0.00399485353046397	0.00381188004258641	0.00449140282197761	0.000234643338453177	0.00293630066592101	0.001473724705215	0.00214943132465668	0.00242802938190455	0.000547590710843879	0	0.000209944039668632	0	0	0
"[30,35)"	0.00347864679130497	0.00601549000142555	0.00312261132134135	0.0028804335926193	0.00135167975995191	0.001473724705215	0.0035066753030339	0.00176011111317766	0.00246878226858593	0.00170508928269183	0.000143688158758462	0.000274183520178403	0.00158892079123291	0.00159219931555388	0
"[35,40)"	0.0044948485328491	0.00762884735917174	0.00802600667047018	0.00252723879515653	0.000774858228227539	0.00214943132465668	0.00176011111317766	0.00425412360595511	0.00138711848409436	0.00159830850228774	0	0.000213253849027647	0.00206087777309746	0.00274119201363687	0
"[40,45)"	0.00169290988059302	0.0041490860495133	0.00570214992443868	0.00136831522935053	0.00152148622848799	0.00242802938190455	0.00246878226858593	0.00138711848409436	0.00227718582402035	0.00114420687968413	0.00118610399122305	0.000767713856499528	0.000402220322177507	0	0.000143415144869988
"[45,50)"	0.00140383955348479	0.00348930613883296	0.00344361836556124	0.00312305982104312	0.000268207695107206	0.000547590710843879	0.00170508928269183	0.00159830850228774	0.00114420687968413	0.00191917506276712	0.00143925163782234	0.000965340579210102	0.00142757322304414	0	0
"[50,55)"	0	0.00335661163953874	0.00291488636990506	0.00143050872813722	0.000295956580537264	0	0.000143688158758462	0	0.00118610399122305	0.00143925163782234	0	0.00111570793285363	0	0	0
"[55,60)"	0.000271070051021994	0.00136058354068958	0.00197088471574558	0.00108119701457017	0.000274183520178403	0.000209944039668632	0.000274183520178403	0.000213253849027647	0.000767713856499528	0.000965340579210102	0.00111570793285363	0	0.000239910580156103	0.00255904618833176	0
"[60,65)"	0.000342217770216619	0.00380107838471836	0.000407933501453869	0.000456290360288826	0.000479287367489815	0	0.00158892079123291	0.00206087777309746	0.000402220322177507	0.00142757322304415	0	0.000239910580156103	0	0.000345448243495863	0
"[65,70)"	0.00019739899628335	0.00280593044020224	0.00195723530383893	0	0.0003947979925667	0	0.00159219931555388	0.00274119201363687	0	0	0	0.00255904618833176	0.000345448243495863	0	0
"70+"	0.000113222482792096	0	0	0.00090691871073241	0	0	0	0	0.000143415144869988	0	0	0	0	0	0
