"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0	0	0	0	0.00280234495033096	0.000333612494087019	0	0.00473412015418722	0.00164239997088994	0	0.000160133997161769	0.000500418741130528	0	0	0
"[5,10)"	0	0	0.000337825440795595	0.000389472939263092	0.00815848439521361	0.00515716161022228	0.00103599801843982	0.00809373451906112	0.00150382593504617	0.00035318114264994	0.00124319762212779	0	0	0	0
"[10,15)"	0	0.000337825440795595	0.000314193523729419	0.00015055106345368	0.000722645104577663	0.000781707444855646	0.00123547335850873	0.000401469502543146	0.000963526806103551	0.00833505433120828	0	0.00045165319036104	0.000245685836523001	0	0
"[15,20)"	0	0.000389472939263092	0.00015055106345368	0.0135804018119137	0.00762609760095963	0.00787947492479854	0.00286347352067696	0.00562453647433272	0.00389487148961687	0.0069967502572217	0.00272548713464103	0.00179400811532581	0.00191266459732263	0.000992600180171083	0.000199065227017283
"[20,25)"	0.00280234495033096	0.00815848439521361	0.000722645104577664	0.00762609760095963	0.0143490694742837	0.0109037272426881	0.00888822030379414	0.00749624388901633	0.00809057469639565	0.00607293126762942	0.00398561978171518	0.00406907500750438	0.00253342546575539	0.00126490948802688	0.0001168044493822
"[25,30)"	0.000333612494087019	0.00515716161022228	0.000781707444855646	0.00787947492479854	0.0109037272426881	0.0166120953798599	0.0141250416356035	0.0116376580136369	0.0127037140340455	0.0203164558871964	0.0059847246945982	0.0077028723868058	0.00594052499553366	0.00290478901660729	0.000979048405585522
"[30,35)"	0	0.00103599801843982	0.00123547335850873	0.00286347352067697	0.00888822030379414	0.0141250416356035	0.010608108406215	0.0136085133772454	0.0110929007520908	0.0146313706858242	0.00593574434204268	0.0079235019335462	0.00431111055660308	0.00216816993719218	0.000132378375966493
"[35,40)"	0.00473412015418722	0.00809373451906112	0.000401469502543146	0.00562453647433272	0.00749624388901633	0.0116376580136369	0.0136085133772454	0.0116166055889002	0.0150615322404951	0.0126507503832626	0.00822559953309784	0.00696154261797386	0.00450067133633182	0.00187025718062461	0.00135136258799128
"[40,45)"	0.00164239997088994	0.00150382593504617	0.000963526806103551	0.00389487148961687	0.00809057469639565	0.0127037140340455	0.0110929007520908	0.0150615322404952	0.0167850644262766	0.0180742148188302	0.00916783868883689	0.00876686428609602	0.00530568388650667	0.00168281045544177	0.00127626331701029
"[45,50)"	0	0.00035318114264994	0.00833505433120828	0.0069967502572217	0.00607293126762942	0.0203164558871964	0.0146313706858242	0.0126507503832626	0.0180742148188302	0.0278607075583372	0.0089766861840239	0.00819222492231103	0.00969086025760037	0.00264010188109533	0.002649881826602
"[50,55)"	0.000160133997161769	0.00124319762212779	0	0.00272548713464103	0.00398561978171518	0.0059847246945982	0.00593574434204268	0.00822559953309784	0.00916783868883689	0.0089766861840239	0.00483950139505487	0.00828973711630808	0.00278716452288093	0.00161856411677618	0.000798088862797992
"[55,60)"	0.000500418741130529	0	0.00045165319036104	0.00179400811532581	0.00406907500750438	0.0077028723868058	0.0079235019335462	0.00696154261797386	0.00876686428609602	0.00819222492231103	0.00828973711630808	0.00731943362137421	0.00530206676697397	0.00145538084785606	0.000627055465104441
"[60,65)"	0	0	0.000245685836523001	0.00191266459732263	0.00253342546575539	0.00594052499553366	0.00431111055660308	0.00450067133633182	0.00530568388650667	0.00969086025760037	0.00278716452288093	0.00530206676697397	0.00224802540418546	0.000999224434310852	0.000248209454937175
"[65,70)"	0	0	0	0.000992600180171083	0.00126490948802688	0.00290478901660729	0.00216816993719218	0.00187025718062461	0.00168281045544177	0.00264010188109533	0.00161856411677618	0.00145538084785606	0.000999224434310852	0	0
"70+"	0	0	0	0.000199065227017283	0.0001168044493822	0.000979048405585522	0.000132378375966493	0.00135136258799128	0.00127626331701029	0.002649881826602	0.000798088862797992	0.000627055465104441	0.000248209454937175	0	0
