"","Country A","Country B","KL divergence - per capita"
"1","Austria (C)","Austria (C)","0"
"2","Austria (C)","Croatia (C)","0.0608234370446184"
"3","Austria (C)","Denmark (C)","0.0348877286873415"
"4","Austria (C)","Estonia (C)","0.041766477275542"
"5","Austria (C)","Finland (C)","0.0486324127961361"
"6","Austria (C)","France (C)","0.0519812152789437"
"7","Austria (C)","Greece (C)","0.0403776472800459"
"8","Austria (C)","Hungary (C)","0.0426893223917499"
"9","Austria (C)","Italy (C)","0.0441756554812318"
"10","Austria (C)","Lithuania (C)","0.058686532524826"
"11","Austria (C)","Netherlands (C)","0.0513861826670684"
"12","Austria (C)","Portugal (C)","0.0559907089728978"
"13","Austria (C)","Slovakia (C)","0.042306626003446"
"14","Austria (C)","Slovenia (C)","0.0554390841654676"
"15","Austria (C)","Spain (C)","0.0682470580807598"
"16","Austria (C)","Switzerland (C)","0.0355384466951672"
"17","Austria (C)","United Kingdom (C)","0.0218102734623543"
"18","Austria (C)","Belgium, 2006","0.19638869173784"
"19","Austria (C)","Belgium, 2010","0.181224778278676"
"20","Austria (C)","China (Shanghai), 2018","0.399361429641435"
"21","Austria (C)","China (Wuhan), 2019","0.383691726780959"
"22","Austria (C)","France, 2012","0.166883328917355"
"23","Austria (C)","Hong Kong, 2016","0.183771681145941"
"24","Austria (C)","Peru, 2011","0.181728075806387"
"25","Austria (C)","Zimbabwe, 2013","0.414411735046816"
"26","Austria (C)","Italy (P)","0.239214999590169"
"27","Austria (C)","Germany (P)","0.14863913909953"
"28","Austria (C)","Luxembourg (P)","0.194727242818483"
"29","Austria (C)","Netherlands (P)","0.222024000130786"
"30","Austria (C)","Poland (P)","0.212896439679437"
"31","Austria (C)","United Kingdom (P)","0.121738826909078"
"32","Austria (C)","Finland (P)","0.14614815240215"
"33","Austria (C)","Belgium (P)","0.180818821621566"
"34","Croatia (C)","Austria (C)","0.0608234370446184"
"35","Croatia (C)","Croatia (C)","0"
"36","Croatia (C)","Denmark (C)","0.0749504426950449"
"37","Croatia (C)","Estonia (C)","0.0218949654429933"
"38","Croatia (C)","Finland (C)","0.0214149726213138"
"39","Croatia (C)","France (C)","0.0437355628498736"
"40","Croatia (C)","Greece (C)","0.039702757699663"
"41","Croatia (C)","Hungary (C)","0.0385456781518433"
"42","Croatia (C)","Italy (C)","0.0575412933404275"
"43","Croatia (C)","Lithuania (C)","0.12762939977021"
"44","Croatia (C)","Netherlands (C)","0.0577392927251504"
"45","Croatia (C)","Portugal (C)","0.0278846353349681"
"46","Croatia (C)","Slovakia (C)","0.0341683530357926"
"47","Croatia (C)","Slovenia (C)","0.121918348391481"
"48","Croatia (C)","Spain (C)","0.0381087779244441"
"49","Croatia (C)","Switzerland (C)","0.0177133123315125"
"50","Croatia (C)","United Kingdom (C)","0.0279292775483127"
"51","Croatia (C)","Belgium, 2006","0.23441266377063"
"52","Croatia (C)","Belgium, 2010","0.155474824654886"
"53","Croatia (C)","China (Shanghai), 2018","0.421650606794081"
"54","Croatia (C)","China (Wuhan), 2019","0.307149259900252"
"55","Croatia (C)","France, 2012","0.17505097363326"
"56","Croatia (C)","Hong Kong, 2016","0.183764769374793"
"57","Croatia (C)","Peru, 2011","0.198048514785042"
"58","Croatia (C)","Zimbabwe, 2013","0.459173466111904"
"59","Croatia (C)","Italy (P)","0.213174638133971"
"60","Croatia (C)","Germany (P)","0.179588164096512"
"61","Croatia (C)","Luxembourg (P)","0.201180956727249"
"62","Croatia (C)","Netherlands (P)","0.216371691034142"
"63","Croatia (C)","Poland (P)","0.203606238934936"
"64","Croatia (C)","United Kingdom (P)","0.122837299243159"
"65","Croatia (C)","Finland (P)","0.150789603273911"
"66","Croatia (C)","Belgium (P)","0.207987605835942"
"67","Denmark (C)","Austria (C)","0.0348877286873415"
"68","Denmark (C)","Croatia (C)","0.0749504426950449"
"69","Denmark (C)","Denmark (C)","0"
"70","Denmark (C)","Estonia (C)","0.0507485429637214"
"71","Denmark (C)","Finland (C)","0.0753455468736283"
"72","Denmark (C)","France (C)","0.076330630752682"
"73","Denmark (C)","Greece (C)","0.0617108122196301"
"74","Denmark (C)","Hungary (C)","0.0436788695032213"
"75","Denmark (C)","Italy (C)","0.0440294910370082"
"76","Denmark (C)","Lithuania (C)","0.0393420316988869"
"77","Denmark (C)","Netherlands (C)","0.0599691949185066"
"78","Denmark (C)","Portugal (C)","0.0709727088354728"
"79","Denmark (C)","Slovakia (C)","0.048756624907735"
"80","Denmark (C)","Slovenia (C)","0.0456795270604599"
"81","Denmark (C)","Spain (C)","0.088303522463522"
"82","Denmark (C)","Switzerland (C)","0.0588262786933312"
"83","Denmark (C)","United Kingdom (C)","0.0429715495734492"
"84","Denmark (C)","Belgium, 2006","0.171300371178943"
"85","Denmark (C)","Belgium, 2010","0.16248336364997"
"86","Denmark (C)","China (Shanghai), 2018","0.385826291087364"
"87","Denmark (C)","China (Wuhan), 2019","0.387640350318296"
"88","Denmark (C)","France, 2012","0.143293776843331"
"89","Denmark (C)","Hong Kong, 2016","0.185807791565161"
"90","Denmark (C)","Peru, 2011","0.192203274943894"
"91","Denmark (C)","Zimbabwe, 2013","0.427488764339915"
"92","Denmark (C)","Italy (P)","0.21769621582252"
"93","Denmark (C)","Germany (P)","0.122205923212893"
"94","Denmark (C)","Luxembourg (P)","0.181302191929561"
"95","Denmark (C)","Netherlands (P)","0.218906119371341"
"96","Denmark (C)","Poland (P)","0.20920867992539"
"97","Denmark (C)","United Kingdom (P)","0.113373291022025"
"98","Denmark (C)","Finland (P)","0.137521091206077"
"99","Denmark (C)","Belgium (P)","0.16017724891397"
"100","Estonia (C)","Austria (C)","0.041766477275542"
"101","Estonia (C)","Croatia (C)","0.0218949654429933"
"102","Estonia (C)","Denmark (C)","0.0507485429637214"
"103","Estonia (C)","Estonia (C)","0"
"104","Estonia (C)","Finland (C)","0.028372553310527"
"105","Estonia (C)","France (C)","0.029373273092483"
"106","Estonia (C)","Greece (C)","0.0402391817514208"
"107","Estonia (C)","Hungary (C)","0.030209747277988"
"108","Estonia (C)","Italy (C)","0.0465047172632444"
"109","Estonia (C)","Lithuania (C)","0.0958190903636689"
"110","Estonia (C)","Netherlands (C)","0.0574764252499172"
"111","Estonia (C)","Portugal (C)","0.0305946022132748"
"112","Estonia (C)","Slovakia (C)","0.0223022607901673"
"113","Estonia (C)","Slovenia (C)","0.0996897040153541"
"114","Estonia (C)","Spain (C)","0.0485756261017709"
"115","Estonia (C)","Switzerland (C)","0.0233294762346194"
"116","Estonia (C)","United Kingdom (C)","0.0178791371602732"
"117","Estonia (C)","Belgium, 2006","0.228034505038704"
"118","Estonia (C)","Belgium, 2010","0.177860287314305"
"119","Estonia (C)","China (Shanghai), 2018","0.443530290382274"
"120","Estonia (C)","China (Wuhan), 2019","0.313296488787958"
"121","Estonia (C)","France, 2012","0.181362225901452"
"122","Estonia (C)","Hong Kong, 2016","0.207128310877494"
"123","Estonia (C)","Peru, 2011","0.204611670843065"
"124","Estonia (C)","Zimbabwe, 2013","0.440623345559052"
"125","Estonia (C)","Italy (P)","0.231543607307865"
"126","Estonia (C)","Germany (P)","0.175979944633385"
"127","Estonia (C)","Luxembourg (P)","0.212102273137393"
"128","Estonia (C)","Netherlands (P)","0.241384645334959"
"129","Estonia (C)","Poland (P)","0.223660909674132"
"130","Estonia (C)","United Kingdom (P)","0.132605967891643"
"131","Estonia (C)","Finland (P)","0.160916296800607"
"132","Estonia (C)","Belgium (P)","0.203682633567983"
"133","Finland (C)","Austria (C)","0.0486324127961361"
"134","Finland (C)","Croatia (C)","0.0214149726213138"
"135","Finland (C)","Denmark (C)","0.0753455468736283"
"136","Finland (C)","Estonia (C)","0.028372553310527"
"137","Finland (C)","Finland (C)","0"
"138","Finland (C)","France (C)","0.0317796499168828"
"139","Finland (C)","Greece (C)","0.0463241115067282"
"140","Finland (C)","Hungary (C)","0.0440768921630606"
"141","Finland (C)","Italy (C)","0.0641293362837084"
"142","Finland (C)","Lithuania (C)","0.140368835216018"
"143","Finland (C)","Netherlands (C)","0.0689408696131992"
"144","Finland (C)","Portugal (C)","0.028884876615887"
"145","Finland (C)","Slovakia (C)","0.0410376286456762"
"146","Finland (C)","Slovenia (C)","0.131722307094077"
"147","Finland (C)","Spain (C)","0.036851953116501"
"148","Finland (C)","Switzerland (C)","0.0247233499599284"
"149","Finland (C)","United Kingdom (C)","0.0235503437624448"
"150","Finland (C)","Belgium, 2006","0.262804330775895"
"151","Finland (C)","Belgium, 2010","0.177562724512945"
"152","Finland (C)","China (Shanghai), 2018","0.482077055966921"
"153","Finland (C)","China (Wuhan), 2019","0.312122683569132"
"154","Finland (C)","France, 2012","0.201636128996883"
"155","Finland (C)","Hong Kong, 2016","0.196585297058413"
"156","Finland (C)","Peru, 2011","0.215177797218756"
"157","Finland (C)","Zimbabwe, 2013","0.536236313225703"
"158","Finland (C)","Italy (P)","0.228566532576346"
"159","Finland (C)","Germany (P)","0.189789438821761"
"160","Finland (C)","Luxembourg (P)","0.216612203253225"
"161","Finland (C)","Netherlands (P)","0.231581036431166"
"162","Finland (C)","Poland (P)","0.232739445586573"
"163","Finland (C)","United Kingdom (P)","0.14422799108755"
"164","Finland (C)","Finland (P)","0.16041129959661"
"165","Finland (C)","Belgium (P)","0.237433519302516"
"166","France (C)","Austria (C)","0.0519812152789437"
"167","France (C)","Croatia (C)","0.0437355628498736"
"168","France (C)","Denmark (C)","0.076330630752682"
"169","France (C)","Estonia (C)","0.029373273092483"
"170","France (C)","Finland (C)","0.0317796499168828"
"171","France (C)","France (C)","0"
"172","France (C)","Greece (C)","0.0478986746071444"
"173","France (C)","Hungary (C)","0.0427525950219484"
"174","France (C)","Italy (C)","0.0546247403552837"
"175","France (C)","Lithuania (C)","0.146607100405045"
"176","France (C)","Netherlands (C)","0.0742951048618001"
"177","France (C)","Portugal (C)","0.0305566994882208"
"178","France (C)","Slovakia (C)","0.0383888534060132"
"179","France (C)","Slovenia (C)","0.125809826546791"
"180","France (C)","Spain (C)","0.0437753689985012"
"181","France (C)","Switzerland (C)","0.0363679528685372"
"182","France (C)","United Kingdom (C)","0.0273393408687045"
"183","France (C)","Belgium, 2006","0.268507200429984"
"184","France (C)","Belgium, 2010","0.216860917370386"
"185","France (C)","China (Shanghai), 2018","0.491684394139533"
"186","France (C)","China (Wuhan), 2019","0.316710607006396"
"187","France (C)","France, 2012","0.220004806085491"
"188","France (C)","Hong Kong, 2016","0.242226203474877"
"189","France (C)","Peru, 2011","0.215754731911504"
"190","France (C)","Zimbabwe, 2013","0.514536344478614"
"191","France (C)","Italy (P)","0.245084046557759"
"192","France (C)","Germany (P)","0.204551941196022"
"193","France (C)","Luxembourg (P)","0.241281355542054"
"194","France (C)","Netherlands (P)","0.277694630848999"
"195","France (C)","Poland (P)","0.260268370031132"
"196","France (C)","United Kingdom (P)","0.167304055380397"
"197","France (C)","Finland (P)","0.196798633098229"
"198","France (C)","Belgium (P)","0.242124170541764"
"199","Greece (C)","Austria (C)","0.0403776472800459"
"200","Greece (C)","Croatia (C)","0.039702757699663"
"201","Greece (C)","Denmark (C)","0.0617108122196301"
"202","Greece (C)","Estonia (C)","0.0402391817514208"
"203","Greece (C)","Finland (C)","0.0463241115067282"
"204","Greece (C)","France (C)","0.0478986746071444"
"205","Greece (C)","Greece (C)","0"
"206","Greece (C)","Hungary (C)","0.0468531943140539"
"207","Greece (C)","Italy (C)","0.0459239807160046"
"208","Greece (C)","Lithuania (C)","0.105192453450087"
"209","Greece (C)","Netherlands (C)","0.0509966519835623"
"210","Greece (C)","Portugal (C)","0.0367336254403364"
"211","Greece (C)","Slovakia (C)","0.0404224028039195"
"212","Greece (C)","Slovenia (C)","0.0853735071767929"
"213","Greece (C)","Spain (C)","0.0446114715882536"
"214","Greece (C)","Switzerland (C)","0.0303805786657169"
"215","Greece (C)","United Kingdom (C)","0.0244350696771913"
"216","Greece (C)","Belgium, 2006","0.206080429161472"
"217","Greece (C)","Belgium, 2010","0.185478530549313"
"218","Greece (C)","China (Shanghai), 2018","0.413641450082716"
"219","Greece (C)","China (Wuhan), 2019","0.310151283140515"
"220","Greece (C)","France, 2012","0.164520434269254"
"221","Greece (C)","Hong Kong, 2016","0.182170512859908"
"222","Greece (C)","Peru, 2011","0.171966541748211"
"223","Greece (C)","Zimbabwe, 2013","0.412572898489405"
"224","Greece (C)","Italy (P)","0.206219500229844"
"225","Greece (C)","Germany (P)","0.169194743125744"
"226","Greece (C)","Luxembourg (P)","0.198214730932515"
"227","Greece (C)","Netherlands (P)","0.240298313393486"
"228","Greece (C)","Poland (P)","0.207724689198997"
"229","Greece (C)","United Kingdom (P)","0.132132909319082"
"230","Greece (C)","Finland (P)","0.163604273999415"
"231","Greece (C)","Belgium (P)","0.194754540056778"
"232","Hungary (C)","Austria (C)","0.0426893223917499"
"233","Hungary (C)","Croatia (C)","0.0385456781518433"
"234","Hungary (C)","Denmark (C)","0.0436788695032213"
"235","Hungary (C)","Estonia (C)","0.030209747277988"
"236","Hungary (C)","Finland (C)","0.0440768921630606"
"237","Hungary (C)","France (C)","0.0427525950219484"
"238","Hungary (C)","Greece (C)","0.0468531943140539"
"239","Hungary (C)","Hungary (C)","0"
"240","Hungary (C)","Italy (C)","0.0489438181359508"
"241","Hungary (C)","Lithuania (C)","0.0780592354016543"
"242","Hungary (C)","Netherlands (C)","0.0587625567255141"
"243","Hungary (C)","Portugal (C)","0.0464289751361666"
"244","Hungary (C)","Slovakia (C)","0.0239950769941425"
"245","Hungary (C)","Slovenia (C)","0.0748587981594886"
"246","Hungary (C)","Spain (C)","0.0630560277148126"
"247","Hungary (C)","Switzerland (C)","0.0312235611170551"
"248","Hungary (C)","United Kingdom (C)","0.0283601610955736"
"249","Hungary (C)","Belgium, 2006","0.206442850717259"
"250","Hungary (C)","Belgium, 2010","0.168230908506932"
"251","Hungary (C)","China (Shanghai), 2018","0.410503692274753"
"252","Hungary (C)","China (Wuhan), 2019","0.342368248205045"
"253","Hungary (C)","France, 2012","0.17027758709792"
"254","Hungary (C)","Hong Kong, 2016","0.188566472937158"
"255","Hungary (C)","Peru, 2011","0.194381119961596"
"256","Hungary (C)","Zimbabwe, 2013","0.41917715302626"
"257","Hungary (C)","Italy (P)","0.223677199043489"
"258","Hungary (C)","Germany (P)","0.156118065129927"
"259","Hungary (C)","Luxembourg (P)","0.186583951340903"
"260","Hungary (C)","Netherlands (P)","0.235958998733458"
"261","Hungary (C)","Poland (P)","0.213151982046072"
"262","Hungary (C)","United Kingdom (P)","0.110824899009037"
"263","Hungary (C)","Finland (P)","0.150344091874803"
"264","Hungary (C)","Belgium (P)","0.188217062577064"
"265","Italy (C)","Austria (C)","0.0441756554812318"
"266","Italy (C)","Croatia (C)","0.0575412933404275"
"267","Italy (C)","Denmark (C)","0.0440294910370082"
"268","Italy (C)","Estonia (C)","0.0465047172632444"
"269","Italy (C)","Finland (C)","0.0641293362837084"
"270","Italy (C)","France (C)","0.0546247403552837"
"271","Italy (C)","Greece (C)","0.0459239807160046"
"272","Italy (C)","Hungary (C)","0.0489438181359508"
"273","Italy (C)","Italy (C)","0"
"274","Italy (C)","Lithuania (C)","0.092612512512772"
"275","Italy (C)","Netherlands (C)","0.0412829210158816"
"276","Italy (C)","Portugal (C)","0.0408102909306537"
"277","Italy (C)","Slovakia (C)","0.0552673335145075"
"278","Italy (C)","Slovenia (C)","0.0727312807066716"
"279","Italy (C)","Spain (C)","0.0480704149274177"
"280","Italy (C)","Switzerland (C)","0.0423792275690135"
"281","Italy (C)","United Kingdom (C)","0.0309488839255416"
"282","Italy (C)","Belgium, 2006","0.223184532167341"
"283","Italy (C)","Belgium, 2010","0.185469644728781"
"284","Italy (C)","China (Shanghai), 2018","0.45981654229196"
"285","Italy (C)","China (Wuhan), 2019","0.379279339559287"
"286","Italy (C)","France, 2012","0.183559605933877"
"287","Italy (C)","Hong Kong, 2016","0.198624770105358"
"288","Italy (C)","Peru, 2011","0.178873951164449"
"289","Italy (C)","Zimbabwe, 2013","0.409221983947684"
"290","Italy (C)","Italy (P)","0.217614277915853"
"291","Italy (C)","Germany (P)","0.166947013324022"
"292","Italy (C)","Luxembourg (P)","0.210956076757396"
"293","Italy (C)","Netherlands (P)","0.261959056833893"
"294","Italy (C)","Poland (P)","0.228294846676928"
"295","Italy (C)","United Kingdom (P)","0.132100439032746"
"296","Italy (C)","Finland (P)","0.188919943550128"
"297","Italy (C)","Belgium (P)","0.201161637679314"
"298","Lithuania (C)","Austria (C)","0.058686532524826"
"299","Lithuania (C)","Croatia (C)","0.12762939977021"
"300","Lithuania (C)","Denmark (C)","0.0393420316988869"
"301","Lithuania (C)","Estonia (C)","0.0958190903636689"
"302","Lithuania (C)","Finland (C)","0.140368835216018"
"303","Lithuania (C)","France (C)","0.146607100405045"
"304","Lithuania (C)","Greece (C)","0.105192453450087"
"305","Lithuania (C)","Hungary (C)","0.0780592354016543"
"306","Lithuania (C)","Italy (C)","0.092612512512772"
"307","Lithuania (C)","Lithuania (C)","0"
"308","Lithuania (C)","Netherlands (C)","0.102822964442234"
"309","Lithuania (C)","Portugal (C)","0.148572617762217"
"310","Lithuania (C)","Slovakia (C)","0.0823548322191672"
"311","Lithuania (C)","Slovenia (C)","0.0331426125766293"
"312","Lithuania (C)","Spain (C)","0.179290632832995"
"313","Lithuania (C)","Switzerland (C)","0.108953133291022"
"314","Lithuania (C)","United Kingdom (C)","0.0894099857597558"
"315","Lithuania (C)","Belgium, 2006","0.157384080873181"
"316","Lithuania (C)","Belgium, 2010","0.195829915173442"
"317","Lithuania (C)","China (Shanghai), 2018","0.383353856010731"
"318","Lithuania (C)","China (Wuhan), 2019","0.428961159628245"
"319","Lithuania (C)","France, 2012","0.159169147620642"
"320","Lithuania (C)","Hong Kong, 2016","0.211054854374849"
"321","Lithuania (C)","Peru, 2011","0.211002172908904"
"322","Lithuania (C)","Zimbabwe, 2013","0.316825462262749"
"323","Lithuania (C)","Italy (P)","0.289113196800145"
"324","Lithuania (C)","Germany (P)","0.15263797626164"
"325","Lithuania (C)","Luxembourg (P)","0.213874002472015"
"326","Lithuania (C)","Netherlands (P)","0.247394708039459"
"327","Lithuania (C)","Poland (P)","0.222932213096617"
"328","Lithuania (C)","United Kingdom (P)","0.130172267693262"
"329","Lithuania (C)","Finland (P)","0.161683915260811"
"330","Lithuania (C)","Belgium (P)","0.168119446434437"
"331","Netherlands (C)","Austria (C)","0.0513861826670684"
"332","Netherlands (C)","Croatia (C)","0.0577392927251504"
"333","Netherlands (C)","Denmark (C)","0.0599691949185066"
"334","Netherlands (C)","Estonia (C)","0.0574764252499172"
"335","Netherlands (C)","Finland (C)","0.0689408696131992"
"336","Netherlands (C)","France (C)","0.0742951048618001"
"337","Netherlands (C)","Greece (C)","0.0509966519835623"
"338","Netherlands (C)","Hungary (C)","0.0587625567255141"
"339","Netherlands (C)","Italy (C)","0.0412829210158816"
"340","Netherlands (C)","Lithuania (C)","0.102822964442234"
"341","Netherlands (C)","Netherlands (C)","0"
"342","Netherlands (C)","Portugal (C)","0.05545933139476"
"343","Netherlands (C)","Slovakia (C)","0.0562271232595718"
"344","Netherlands (C)","Slovenia (C)","0.0757712047822388"
"345","Netherlands (C)","Spain (C)","0.063562466736444"
"346","Netherlands (C)","Switzerland (C)","0.0325307059532961"
"347","Netherlands (C)","United Kingdom (C)","0.0336401980104028"
"348","Netherlands (C)","Belgium, 2006","0.204462109391437"
"349","Netherlands (C)","Belgium, 2010","0.16539675865496"
"350","Netherlands (C)","China (Shanghai), 2018","0.442576035854209"
"351","Netherlands (C)","China (Wuhan), 2019","0.38643796012955"
"352","Netherlands (C)","France, 2012","0.161463068335911"
"353","Netherlands (C)","Hong Kong, 2016","0.177244295356504"
"354","Netherlands (C)","Peru, 2011","0.209822787449305"
"355","Netherlands (C)","Zimbabwe, 2013","0.395110963457248"
"356","Netherlands (C)","Italy (P)","0.214355656764982"
"357","Netherlands (C)","Germany (P)","0.154617486560081"
"358","Netherlands (C)","Luxembourg (P)","0.194070884207101"
"359","Netherlands (C)","Netherlands (P)","0.209637354879925"
"360","Netherlands (C)","Poland (P)","0.216488626252175"
"361","Netherlands (C)","United Kingdom (P)","0.120007689769557"
"362","Netherlands (C)","Finland (P)","0.170407835732699"
"363","Netherlands (C)","Belgium (P)","0.178961025782872"
"364","Portugal (C)","Austria (C)","0.0559907089728978"
"365","Portugal (C)","Croatia (C)","0.0278846353349681"
"366","Portugal (C)","Denmark (C)","0.0709727088354728"
"367","Portugal (C)","Estonia (C)","0.0305946022132748"
"368","Portugal (C)","Finland (C)","0.028884876615887"
"369","Portugal (C)","France (C)","0.0305566994882208"
"370","Portugal (C)","Greece (C)","0.0367336254403364"
